,Date,BROKER_DEALER
0,1996-03-31,0.7521730959446092
1,1996-06-30,0.6984979125068072
2,1996-09-30,0.8185759162303665
3,1996-12-31,0.6336902915632754
4,1997-03-31,0.5706159470271761
5,1997-06-30,0.6138798252002914
6,1997-09-30,0.8170599411038283
7,1997-12-31,0.8988686765457332
8,1998-03-31,0.9647682265737361
9,1998-06-30,0.8364527215307449
10,1998-09-30,0.9217938186672143
11,1998-12-31,0.5852323820617356
12,1999-03-31,0.8175958404469967
13,1999-06-30,0.6533471000179566
14,1999-09-30,0.5922627425890381
15,1999-12-31,0.4966076775260312
16,2000-03-31,0.6027595155709343
17,2000-06-30,0.615258689572513
18,2000-09-30,0.6707232885309345
19,2000-12-31,0.8445169779831825
20,2001-03-31,0.6641184928111056
21,2001-06-30,0.6413609550561797
22,2001-09-30,0.9283745132268028
23,2001-12-31,0.7979342246290969
24,2002-03-31,0.8119767039557145
25,2002-06-30,0.8357797058147552
26,2002-09-30,0.7793264301824893
27,2002-12-31,1.032769725191841
28,2003-03-31,0.5278781672227545
29,2003-06-30,0.5577009259564372
30,2003-09-30,0.5701968416015313
31,2003-12-31,0.4695203036053131
32,2004-03-31,0.44226712999673495
33,2004-06-30,0.4208405331480919
34,2004-09-30,0.4129262118193891
35,2004-12-31,0.7237327543945655
36,2005-03-31,0.6400482580404122
37,2005-06-30,0.6195827167801125
38,2005-09-30,0.576974025974026
39,2005-12-31,0.432360054206192
40,2006-03-31,0.3879576209155233
41,2006-06-30,0.3776990458882326
42,2006-09-30,0.3511146597996756
43,2006-12-31,0.3271270044509481
44,2007-03-31,0.32430587711487086
45,2007-06-30,0.28628753077333063
46,2007-09-30,0.2797985989492119
47,2007-12-31,0.2739930446878804
48,2008-03-31,0.29093518180712635
49,2008-06-30,0.3040399250449348
50,2008-09-30,0.30955184371442945
51,2008-12-31,0.3726960457994941
52,2009-03-31,0.38764046748148806
53,2009-06-30,0.3197761483782331
54,2009-09-30,0.26870032577418906
55,2009-12-31,0.22995303038877257
56,2010-03-31,0.21796067770487945
57,2010-06-30,0.24248295177788604
58,2010-09-30,0.19791030353745157
59,2010-12-31,0.16499309863136713
60,2011-03-31,0.16726621076744913
61,2011-06-30,0.17539899365879472
62,2011-09-30,0.2222025655402854
63,2011-12-31,0.21560893076336132
64,2012-03-31,0.1992798433644021
65,2012-06-30,0.20201603958706596
66,2012-09-30,0.19385368283039772
67,2012-12-31,0.196895106207702
68,2013-03-31,0.18782753877437103
69,2013-06-30,0.19310053247916947
70,2013-09-30,0.20817178649237472
71,2013-12-31,0.19349386059581747
72,2014-03-31,0.17356796471836916
73,2014-06-30,0.16720700889319365
74,2014-09-30,0.16602423744659286
75,2014-12-31,0.1647233551895641
76,2015-03-31,0.1731133749470821
77,2015-06-30,0.18527621996339136
78,2015-09-30,0.228481752356886
79,2015-12-31,0.18997028408415548
80,2016-03-31,0.20991116993370537
81,2016-06-30,0.2076564538732905
82,2016-09-30,0.21012578771169754
83,2016-12-31,0.21878986622160795
84,2017-03-31,0.2014428901328755
85,2017-06-30,0.19387886099820786
86,2017-09-30,0.18202490047529252
87,2017-12-31,0.17392935498025447
88,2018-03-31,0.16999564789389152
89,2018-06-30,0.15681761816416576
90,2018-09-30,0.1435648338569516
91,2018-12-31,0.15976303828219898
92,2019-03-31,0.15062216030666412
93,2019-06-30,0.149153095044534
94,2019-09-30,0.15019786389771184
95,2019-12-31,0.12744482693398904
96,2020-03-31,0.1596132715296414
97,2020-06-30,0.1381685636811697
98,2020-09-30,0.1263228402224198
99,2020-12-31,0.11803015006821281
100,2021-03-31,0.11083246053478366
101,2021-06-30,0.14327642866046436
102,2021-09-30,0.14065194093160205
103,2021-12-31,0.12470204390613171
104,2022-03-31,0.12816963831689157
105,2022-06-30,0.15258425864166048
106,2022-09-30,0.16082181838483656
107,2022-12-31,0.16252887108178174
108,2023-03-31,0.1554586695469852
109,2023-06-30,0.14951669325769662
