This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20040804, -0.323, -0.323, -1.555, -1.555, 0.440, 0.440
20040805, 3.403, 2.094, 2.094, 5.083, 5.083, 5.083
20040806, 2.944, 2.318, 2.318, 1.423, 1.423, 1.423
20040809, -2.081, -2.204, -2.204, -2.483, -2.483, -2.483
20040810, -3.589, -3.883, -3.883, -3.309, -3.309, -3.309
20040811, 0.821, 1.016, 1.016, 0.429, 0.429, 0.429
20040812, 0.462, -0.205, -0.205, 0.225, 0.225, 0.225
20040813, -1.689, -1.689, -1.689, 0.924, 0.924, 0.924
20040816, -2.825, -2.825, -2.825, -1.321, -1.321, -1.321
20040817, -1.676, -1.676, -1.676, -2.620, -2.620, -2.620
20040818, -2.069, -2.069, -2.069, -0.763, -0.763, -0.763
20040819, 0.451, 0.451, 0.451, 0.723, 0.723, 0.723
20040820, -1.322, -1.322, -1.322, -1.528, -1.528, -1.528
20040823, -0.904, -0.904, -0.904, 0.724, 0.724, 0.724
20040824, -2.051, -2.290, -2.290, -1.760, -1.760, -1.760
20040825, -3.809, -4.993, -4.993, -2.910, -2.910, -2.910
20040826, -0.362, -0.032, -0.032, 0.437, 0.437, 0.437
20040827, -1.248, -0.594, -0.594, -0.639, -0.639, -0.639
20040830, 1.316, 0.891, 0.891, -0.300, -0.300, -0.300
20040831, -0.794, 0.848, 0.848, -2.493, -2.493, -2.493
20040901, -1.203, -1.544, -1.544, -1.569, -1.569, -1.569
20040902, -4.098, -4.719, -4.719, -3.177, -3.177, -3.177
20040903, -0.693, -0.735, -0.735, 0.324, 0.324, 0.324
20040907, -2.224, -1.909, -1.909, -3.539, -3.539, -3.539
20040908, -0.306, 0.233, 0.233, -0.798, -0.798, -0.798
20040909, -0.818, -0.830, -0.830, -0.264, -0.264, -0.264
20040910, -1.324, -1.324, -1.324, 0.120, 0.120, 0.120
20040913, -1.529, -1.529, -1.529, -1.357, -1.357, -1.357
20040914, -2.564, -2.564, -2.564, -4.198, -4.198, -4.198
20040915, 1.845, 1.845, 1.845, 2.378, 2.378, 2.378
20040916, 0.200, 0.200, 0.200, 0.331, 0.331, 0.331
20040917, 0.165, 0.165, 0.165, 0.633, 0.633, 0.633
20040920, 0.795, 0.795, 0.748, 0.748, 0.748, 0.748
20040921, -2.012, -2.012, -1.487, -1.487, -9.020, -9.020
20040922, 1.723, 1.723, 1.639, 1.639, 4.766, 4.766
20040923, 0.111, 0.111, 0.034, 0.034, 1.880, 1.880
20040924, -1.430, -1.430, -1.035, -1.035, -0.261, -0.261
20040927, 1.056, 1.056, 0.989, 0.989, 0.585, 0.585
20040928, -3.047, -3.047, -2.042, -2.042, -5.648, -5.648
20040929, -3.014, -3.014, -2.013, -2.013, -1.202, -1.202
20040930, -1.059, -1.059, -1.312, -1.312, -2.522, -2.522
20041001, -4.335, -4.335, -4.298, -4.298, -3.740, -3.740
20041004, 1.191, 1.191, 0.968, 0.968, -1.786, -1.786
20041005, 0.135, 0.135, 0.030, 0.030, 1.121, 1.121
20041006, -2.064, -2.064, -1.787, -1.787, -5.027, -5.027
20041007, 2.439, 2.439, 1.438, 1.438, 4.217, 4.217
20041008, 1.413, 1.413, 1.413, 1.413, 2.809, 2.809
20041011, -0.100, -0.100, -0.100, -0.100, 1.276, 1.276
20041012, 2.324, 2.324, 2.324, 2.324, -1.761, -1.761
20041013, 0.034, 0.034, 0.034, 0.034, 3.243, 3.243
20041014, 1.938, 1.938, 1.938, 1.938, 3.492, 3.492
20041015, -1.936, -1.936, -1.936, -1.936, -1.989, -1.989
20041018, -3.325, -3.325, -3.325, -3.325, -1.247, -1.247
20041019, 0.840, 0.840, 0.840, 0.840, 2.520, 2.520
20041020, 2.869, 2.869, 2.869, 2.869, 2.266, 2.266
20041021, -4.458, -4.458, -4.458, -1.015, -1.015, -1.015
20041022, 2.117, 2.117, 2.224, 2.224, 1.680, 1.680
20041025, 2.839, 2.839, -1.997, -1.997, 4.182, 4.182
20041026, -2.150, -2.150, -0.890, -0.890, -4.203, -4.203
20041027, 0.203, 0.203, -0.073, -0.073, -1.210, -1.210
20041028, -1.442, -1.442, 0.407, 0.407, -1.533, -1.533
20041029, 0.133, 0.133, -0.630, -0.630, -0.701, -0.701
20041101, 0.695, 0.695, 0.622, 0.622, 0.192, 0.192
20041102, -2.931, -2.931, -3.772, -3.772, -0.925, -0.925
20041103, -5.334, -5.334, -1.306, -1.306, -5.276, -5.276
20041104, -3.764, -2.323, -2.323, -2.323, -5.199, -5.199
20041105, -0.493, -4.378, -4.378, -4.378, 2.432, 2.432
20041108, 0.993, 1.897, 1.897, 1.897, -0.457, -0.457
20041109, -1.049, -0.660, -0.660, -0.660, 0.435, 0.435
20041110, -2.880, -1.908, -1.908, -1.908, -1.410, -1.410
20041111, -2.225, -1.178, -1.178, -1.178, -1.238, -1.238
20041112, -0.115, -0.115, -0.115, -0.115, 0.180, 0.180
20041115, 0.692, 0.692, 0.692, 0.692, 0.871, 0.871
20041116, 1.543, 1.543, 1.543, 1.543, 2.421, 2.421
20041117, -0.025, -0.025, -0.025, -0.025, -0.867, -0.867
20041118, 0.000, 0.000, 0.000, 0.000, 0.223, 0.223
20041119, 0.149, 0.149, 0.149, 0.149, 4.944, 4.944
20041122, -2.668, -2.668, -2.668, -2.668, -1.019, -1.019
20041123, 0.071, 0.071, 0.071, -0.956, -0.956, -5.532
20041124, -0.913, -0.913, -0.913, -0.824, -0.824, -1.096
20041126, -1.919, -1.919, -1.919, 2.657, 2.657, -0.126
20041129, 1.405, 1.405, 1.405, -1.585, -1.585, 0.593
20041130, 0.667, 0.667, 0.667, -0.821, -0.821, 0.062
20041201, -1.292, -1.292, -1.292, -1.485, -1.485, -2.770
20041202, -0.231, -0.231, -0.231, -0.788, -0.788, -0.967
20041203, 1.105, 1.105, 1.105, -2.541, -2.541, -0.356
20041206, -5.517, -5.517, -5.517, -1.716, -1.716, -1.455
20041207, 2.369, 2.369, 2.369, 0.242, 0.242, -0.247
20041208, -1.867, -1.867, -1.867, 0.573, 0.573, 2.174
20041209, -0.980, -0.980, -0.980, 0.785, 0.785, 1.209
20041210, -0.493, -0.493, -0.493, -0.240, -0.240, -1.044
20041213, -2.216, -2.216, -2.216, -1.091, -1.091, -4.862
20041214, 0.295, 0.295, 0.295, -0.303, -0.303, 0.445
20041215, 0.450, 0.450, 0.450, -0.306, -0.306, -0.210
20041216, -1.073, -1.073, -1.073, -2.111, -2.111, -1.073
20041217, 0.147, 0.147, 0.147, 0.696, 0.696, 1.319
20041220, -0.211, -0.211, -0.211, -0.347, -0.347, 1.098
20041221, -1.961, -1.961, -2.099, -2.099, -3.302, -3.302
20041222, 0.224, 0.224, 0.261, 0.261, 0.164, 0.164
20041223, -0.588, -0.588, -0.783, -0.783, 0.467, 0.467
20041227, 0.124, 0.124, -0.207, -0.207, 0.665, 0.665
20041228, 0.146, 0.146, 1.786, 1.786, -0.532, -0.532
20041229, 0.010, 0.010, 0.162, 0.162, 0.569, 0.569
20041230, 0.480, 0.480, 0.610, 0.610, 0.511, 0.511
20041231, 0.184, 0.184, -0.014, -0.014, -0.891, -0.891
20050103, 1.734, 1.734, 0.806, 0.806, 2.783, 2.783
20050104, 1.286, 1.286, 1.972, 1.972, 2.424, 2.424
20050105, -0.327, -0.327, -1.158, -1.158, 0.273, 0.273
20050106, -1.985, -1.985, -2.157, -2.157, -4.626, -4.626
20050107, -0.614, -0.614, -0.702, -0.702, -1.948, -1.948
20050110, -1.053, -1.053, -1.287, -1.287, -2.017, -2.017
20050111, 0.912, 0.912, 1.039, 1.039, -1.125, -1.125
20050112, -3.113, -3.113, -3.139, -3.139, -0.948, -0.948
20050113, 0.168, 0.168, 0.567, 0.567, -0.254, -0.254
20050114, -1.227, -1.227, -1.227, -1.227, -0.710, -0.710
20050118, -3.141, -3.141, -3.141, -3.141, -3.777, -3.777
20050119, 1.170, 1.170, 1.170, 1.170, 0.082, 0.082
20050120, 1.080, 1.080, 1.080, 1.305, 1.305, 1.305
20050121, 2.057, 2.057, 2.057, 2.003, 2.003, 2.003
20050124, -0.466, -0.466, -0.466, 0.273, 0.273, 0.273
20050125, -0.668, -0.668, 0.189, 0.189, 1.210, 1.210
20050126, -1.696, -1.696, -0.590, -0.590, -0.826, -0.826
20050127, -1.287, -1.287, -1.110, -1.110, -1.934, -1.934
20050128, -0.897, -0.897, -0.409, -0.409, 0.776, 0.776
20050131, -1.193, -1.193, -1.691, -1.691, -0.986, -0.986
20050201, -3.239, -3.239, -3.311, -3.311, -3.963, -3.963
20050202, -4.494, -4.494, -4.420, -4.420, -2.430, -2.430
20050203, -0.703, -2.184, -2.184, 1.526, 1.526, 1.526
20050204, -4.770, -3.216, -3.216, -9.491, -9.491, -9.491
20050207, 0.221, -0.363, -0.363, 1.996, 1.996, 1.996
20050208, 0.581, 1.049, 1.049, 1.536, 1.536, 1.536
20050209, 0.729, 0.101, 0.101, 0.492, 0.492, 0.492
20050210, -1.676, -1.652, -1.652, -2.222, -2.222, -2.222
20050211, -2.533, -2.533, -2.533, -2.289, -2.289, -2.289
20050214, 1.157, 1.157, 1.157, -0.060, -0.060, -0.060
20050215, 0.251, 0.251, 0.251, -0.411, -0.411, -0.411
20050216, -0.439, -0.439, -0.439, -2.263, -2.263, -2.263
20050217, 0.966, 0.966, 0.966, 2.755, 2.755, 2.755
20050218, 0.067, 0.067, 0.067, -0.624, -0.624, -0.624
20050222, 3.746, 3.746, 3.746, 4.707, 4.707, 4.707
20050223, -0.465, -0.465, -0.465, 1.058, 1.058, -3.089
20050224, -1.354, -1.354, -1.354, -1.830, -1.830, -5.168
20050225, -1.714, -1.714, -1.714, -0.534, -0.534, -2.363
20050228, 1.935, 1.935, 1.935, 1.168, 1.168, 3.333
20050301, -0.490, -0.490, -0.490, 0.440, 0.440, 0.578
20050302, 1.996, 1.996, 1.996, 1.513, 1.513, 3.273
20050303, 2.456, 2.456, 2.456, 1.701, 1.701, -0.634
20050304, -3.496, -3.496, -3.496, -3.591, -3.591, -0.075
20050307, -0.398, -0.398, -0.004, -0.004, -0.004, -3.271
20050308, 1.592, 1.592, 1.212, 1.212, 1.212, 2.663
20050309, 1.749, 1.749, 2.709, 2.709, 2.709, -1.791
20050310, -0.370, -0.370, -0.503, -0.503, -0.503, 2.334
20050311, 0.796, 0.796, 0.796, 0.796, 0.796, 1.601
20050314, -0.038, -0.038, -0.038, -0.038, -0.038, 1.698
20050315, 2.239, 2.239, 2.239, 2.239, 2.239, 0.382
20050316, 1.195, 1.195, 1.195, 1.195, 1.195, 3.693
20050317, 0.125, 0.125, 0.125, 0.125, 0.125, 1.600
20050318, -0.202, -0.202, -0.202, -0.202, -0.202, 0.568
20050321, 0.742, 0.742, 0.742, 0.742, 0.742, 0.726
20050322, 1.872, 1.872, 1.872, 1.904, 1.904, 4.772
20050323, 0.633, 0.633, 0.633, 0.182, 0.182, 0.195
20050324, -1.532, -1.532, -1.532, -0.884, -0.884, -2.112
20050328, 0.909, 0.909, 0.909, 0.799, 0.799, 0.581
20050329, 4.561, 4.561, 4.561, 2.272, 2.272, 1.340
20050330, -4.572, -4.572, -4.572, -1.517, -1.517, 0.236
20050331, -0.166, -0.166, -0.166, 0.525, 0.525, -0.852
20050401, 1.932, 1.932, 1.932, 0.737, 0.737, 0.738
20050404, 2.434, 2.434, 2.434, 0.432, 0.432, -0.756
20050405, -1.208, -1.208, 0.178, 0.178, -0.036, -0.036
20050406, -4.764, -4.764, -0.893, -0.893, -1.567, -1.567
20050407, -1.860, -1.860, -3.305, -3.305, -0.717, -0.717
20050408, -0.215, -0.215, 0.880, 0.880, -2.370, -2.370
20050411, -0.704, -0.704, -1.188, -1.188, 0.389, 0.389
