This file contains the VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson
The dates are in YYYYMMDD format
r_K^{VIX fut.} gives the daily return of a constant-maturity VIX futures strategy with target maturity K months
Returns are in percent

Date,r_1^{VIX fut.},r_2^{VIX fut.},r_3^{VIX fut.},r_4^{VIX fut.},r_5^{VIX fut.},r_6^{VIX fut.}
20070712, -2.515, -1.255, -2.784, -1.590, -0.321, -1.370
20070713, 0.176, 0.176, 2.061, 0.379, -0.414, 0.901
20070716, 1.347, 1.347, -0.219, 2.199, 1.773, 1.593
20070717, 0.795, 0.795, 1.402, -0.142, 2.026, 0.470
20070718, 3.254, 3.254, 3.324, 2.338, 0.772, 2.856
20070719, -1.228, -1.228, -0.277, -0.908, -0.116, -2.311
20070720, 3.264, 3.264, 2.044, 3.264, 2.540, 1.952
20070723, -0.984, -0.984, -0.610, -0.656, -1.152, -0.357
20070724, 3.590, 2.445, 2.442, -0.329, 4.612, 4.612
20070725, -0.576, 0.382, 0.055, 4.482, 0.127, -3.365
20070726, 7.160, 7.357, 7.631, 2.782, 1.654, 7.228
20070727, 3.398, 1.366, 1.307, 6.322, 12.119, -1.103
20070730, -2.954, -1.697, -1.528, -2.884, -3.997, -4.003
20070731, 6.000, 6.018, 10.814, 9.721, 0.203, 16.935
20070801, 5.384, 5.468, -0.295, 2.104, 4.067, -8.379
20070802, -4.283, -4.385, -4.090, -2.474, -1.842, 7.171
20070803, 8.398, 8.608, 7.558, 6.526, 11.266, 2.851
20070806, -2.217, -1.327, -3.229, -5.738, -5.748, -2.695
20070807, -6.694, -8.299, -5.262, -4.836, -3.072, -7.039
20070808, -1.300, 0.153, -0.585, -0.021, 1.790, -3.873
20070809, 14.207, 13.891, 13.222, 12.021, 6.330, 14.768
20070810, 8.464, 3.113, 1.666, 4.535, 1.333, 5.926
20070813, -2.659, -0.321, -5.524, -9.769, -3.197, -10.514
20070814, 4.326, 4.857, 4.803, 6.875, 3.997, 3.990
20070815, 4.392, 4.177, 0.277, 4.889, -6.409, 6.022
20070816, 7.828, 9.047, 6.947, -6.932, -1.497, 5.927
20070817, -3.409, -3.409, 2.224, 1.314, 8.056, -6.262
20070820, -7.761, -7.761, -8.964, -1.362, -5.671, -3.268
20070821, -2.454, -2.454, -1.724, -1.724, -1.490, -1.161
20070822, -4.732, -4.732, -2.598, -2.598, 1.436, -6.151
20070823, 1.749, 2.801, -0.599, -0.597, -0.597, 1.210
20070824, -3.742, -4.328, -2.423, -2.268, -2.493, -2.493
20070827, 4.720, 6.475, 3.477, 0.157, 3.778, 3.778
20070828, 8.314, 9.059, 11.743, 8.012, 3.422, 3.422
20070829, -3.974, -4.319, -2.221, -5.142, -0.522, -0.522
20070830, 0.945, -0.145, 1.378, 4.129, 0.003, 0.003
20070831, -3.055, -3.437, -3.935, -2.879, 0.888, 0.888
20070904, -3.796, -4.223, -2.923, -1.345, -3.867, -3.867
20070905, 5.734, 6.487, 4.193, 1.640, 2.076, 2.076
20070906, -0.741, -0.739, -1.145, -1.461, 1.046, 1.046
20070907, 6.267, 5.770, 4.681, 6.089, -0.605, -0.605
20070910, 2.768, 2.473, 3.374, 1.095, 3.209, 3.209
20070911, -4.825, -4.645, -2.147, -2.952, -1.770, -1.770
20070912, 0.791, 1.106, 1.632, 1.419, -0.336, -0.336
20070913, -0.476, -0.463, -0.036, -2.649, -0.180, -0.180
20070914, 0.127, 0.127, -0.815, 0.422, -1.215, -1.215
20070917, 2.405, 2.405, 2.727, 0.376, 1.826, 1.826
20070918, -12.120, -12.120, -10.267, -7.583, -7.754, -7.754
20070919, -3.837, -3.837, -6.882, 0.914, -0.598, -0.598
20070920, 1.292, 4.543, 4.543, 2.162, -0.093, -0.093
20070921, -4.490, -3.691, -3.691, -6.008, -1.366, -1.366
20070924, -0.753, -0.398, -0.091, -0.091, -0.931, -0.931
20070925, 0.891, 1.876, 0.919, 0.200, -2.527, -2.527
20070926, -3.920, -3.836, -2.016, -1.537, -0.145, -0.145
20070927, -1.430, -0.951, -1.472, 0.338, -1.127, -1.127
20070928, 1.360, 1.811, 3.649, 0.798, 5.309, 5.309
20071001, -2.487, -2.511, -3.570, -1.622, -5.917, -5.917
20071002, 2.309, 1.337, 3.474, 3.078, 4.162, 4.162
20071003, 1.202, 2.029, 0.724, -0.045, 0.113, 0.113
20071004, 0.820, 1.100, 0.352, 0.356, 1.105, 1.105
20071005, -5.644, -4.268, -5.585, -4.791, -5.272, -5.272
20071008, 1.367, 1.422, 0.871, 1.127, 0.943, 0.943
20071009, -5.151, -5.234, -3.131, -4.147, -1.651, -1.651
20071010, 0.445, -0.207, -1.005, 1.770, -3.699, 2.046
20071011, 6.569, 6.593, 8.921, 3.883, 7.464, 3.272
20071012, -1.883, -1.883, -3.143, -0.669, 0.126, -0.414
20071015, 5.098, 5.098, 4.450, 6.017, 3.765, 4.071
20071016, 4.733, 4.733, 4.126, 4.389, 0.909, 3.807
20071017, -1.405, -1.405, -0.740, -0.861, 2.093, -1.306
20071018, 0.137, 0.137, 0.082, 0.008, -0.835, -0.054
20071019, 6.915, 6.915, 8.166, 7.419, 6.672, 3.472
20071022, -1.059, -1.059, -3.816, -3.362, -0.090, -0.449
20071023, -3.188, -2.770, -1.851, -4.173, -2.188, -2.188
20071024, 2.070, 1.980, 1.442, 1.802, 1.616, 1.852
20071025, -1.232, 1.463, -1.238, -0.607, -0.817, 0.759
20071026, -4.347, -4.042, -1.726, -1.719, -2.465, -0.194
20071029, -1.987, -0.785, -0.863, 0.839, -1.053, -1.460
20071030, 3.426, 3.153, 5.901, 2.444, 3.622, 3.150
20071031, -8.225, -6.983, -6.592, -5.191, -4.181, -4.912
20071101, 14.971, 12.453, 9.463, 10.512, 8.167, 3.809
20071102, 2.841, 2.660, 1.648, 0.931, 5.825, 10.081
20071105, 3.966, 3.961, 3.763, 4.290, 0.192, -0.338
20071106, -5.183, -4.885, -2.691, -3.988, -2.523, -1.937
20071107, 11.116, 10.829, 8.483, 10.866, 12.509, 3.796
20071108, -0.374, -0.899, 0.236, -0.901, 1.075, 1.164
20071109, 5.855, 5.736, 3.557, 6.889, 5.093, 7.061
20071112, 1.591, 1.207, 0.650, 1.359, 1.104, -0.589
20071113, -7.856, -6.995, -6.196, -9.940, -9.571, -4.769
20071114, 1.608, 1.276, 2.310, 3.696, 0.192, 0.196
20071115, 6.561, 6.300, 5.579, 8.282, 8.537, 0.584
20071116, -0.961, -0.961, -1.033, -4.539, -2.073, 7.295
20071119, 1.751, 1.751, 2.183, 1.137, 0.709, 1.983
20071120, -2.749, -2.749, 0.526, 0.526, -2.299, -4.748
20071121, 2.363, 2.363, 2.894, -1.121, -1.121, -1.529
20071123, -3.493, -3.182, -4.563, -0.085, -0.085, -3.790
20071126, 5.383, 4.854, 3.376, 4.653, 2.383, 0.825
20071127, -2.249, -1.984, -0.820, -1.355, -0.724, 0.179
20071128, -7.616, -7.447, -7.192, -7.260, -6.454, -6.661
20071129, 0.972, 0.605, -0.132, -0.149, 0.609, 4.831
20071130, -2.310, -1.935, -1.000, 1.202, -2.380, -5.461
20071203, 0.558, 1.070, 1.055, -1.297, 0.713, 0.294
20071204, 0.942, 1.049, 0.671, -1.679, 2.481, 11.743
20071205, -4.584, -3.761, -3.459, -1.367, -2.624, -11.294
20071206, -4.976, -4.198, -4.767, -3.939, -5.913, -4.414
20071207, 1.418, 1.470, 2.416, 0.191, 1.960, 0.639
20071210, -2.067, -1.620, -1.612, -0.326, -0.567, 1.213
20071211, 5.120, 4.445, 4.303, 4.150, 3.028, 2.225
20071212, -1.157, -0.620, 0.250, -1.533, 0.595, -0.731
20071213, 0.551, 0.775, -0.216, 1.548, 2.167, 2.066
20071214, 3.010, 3.010, 3.474, 0.080, 6.826, -4.132
20071217, 3.215, 3.215, 3.182, 4.692, -2.456, 8.016
20071218, -3.458, -3.458, -2.520, -4.529, -3.606, 0.670
20071219, -0.634, -0.634, -2.790, 1.489, -1.406, -4.335
20071220, -1.031, -0.603, -0.603, -2.528, -1.435, -0.421
20071221, -4.333, -3.638, -3.735, -3.735, -3.558, -3.558
20071224, -3.684, -2.069, -0.137, -0.137, -2.067, -2.067
20071226, -0.716, -1.427, 0.698, -0.113, 0.294, -2.453
20071227, 3.186, 3.834, 2.806, 3.130, 3.041, 3.827
20071228, 0.533, 0.851, 2.360, 0.532, -1.041, 0.043
20071231, 1.566, 2.050, 1.549, 1.870, 1.122, 2.233
20080102, 2.372, 1.668, -0.955, 1.348, 6.355, 2.357
20080103, -0.906, 0.274, 0.084, -0.594, -1.479, 3.126
20080104, 4.255, 3.355, 3.745, 3.467, 0.360, -1.204
20080107, -2.091, -1.968, -2.429, -2.335, -0.967, 0.986
20080108, 4.955, 4.570, 4.458, 4.470, 3.390, 4.301
20080109, -1.191, -0.270, 1.057, -2.909, -0.979, -4.216
20080110, -3.243, -3.284, -4.990, -1.681, -2.270, 1.825
20080111, 4.313, 4.313, 6.117, 8.934, 3.209, 4.949
20080114, -4.094, -4.094, -4.409, -4.876, -2.534, -4.326
20080115, 0.706, 0.706, -0.509, 0.189, 5.995, -7.573
20080116, -1.160, -1.160, 0.000, -0.209, 0.509, 5.495
20080117, 8.140, 8.140, 6.184, 7.865, 1.091, 6.506
20080118, 1.069, 1.069, 1.202, -0.026, 0.252, 0.421
20080122, 2.004, 2.004, -1.892, 0.919, -2.946, -3.462
20080123, -4.750, -4.324, -5.020, -4.152, -0.100, -2.926
20080124, 0.118, 0.343, -1.397, 3.945, -2.850, 1.708
20080125, 1.291, 2.315, 0.596, 2.025, 4.935, -0.336
20080128, -2.115, -1.398, -2.026, -3.541, -3.108, -1.584
20080129, 0.124, -1.295, 1.624, 2.396, -2.490, -0.974
20080130, 0.078, 1.659, 0.621, -0.865, 1.497, 4.813
20080131, -1.595, -0.580, -1.077, -1.104, -2.707, -1.102
20080201, -2.645, -3.064, -1.294, -1.322, 19.066, -34.512
20080204, 3.530, 4.713, 2.875, 0.845, -13.248, 37.560
20080205, 5.709, 5.086, 5.855, 8.595, 5.100, 5.065
20080206, 2.705, 2.410, 3.249, 3.104, 0.282, 7.999
20080207, -1.584, -0.768, -2.970, -5.802, 1.431, -1.269
20080208, 1.927, 0.697, 3.090, 6.922, 1.865, 2.577
20080211, -2.181, -2.270, -2.996, -6.701, -1.849, 2.507
20080212, -1.425, -0.870, -1.095, 1.429, -6.556, -3.159
20080213, -3.513, -3.552, -3.197, -4.674, 2.302, -4.508
20080214, 1.447, 1.447, 1.084, 3.147, 2.490, 0.856
20080215, -0.971, -0.971, -0.727, -2.479, -0.823, 3.358
20080219, -1.279, -1.279, -0.867, 1.181, -1.668, -5.082
20080220, -0.643, -0.643, -0.923, -0.923, -2.075, -0.691
20080221, -0.098, 0.999, -3.076, 1.907, 1.907, -2.574
20080222, -2.193, -3.369, -1.164, -5.215, 1.400, 1.400
20080225, -2.695, -2.157, -1.272, 0.112, -1.994, -1.994
20080226, -1.590, -0.828, -0.450, 0.414, 0.212, 0.212
20080227, 0.833, 1.021, 3.134, 2.161, -0.414, -0.414
20080228, 2.842, 3.103, 0.641, 0.530, 4.397, 4.397
20080229, 5.763, 4.715, 7.805, 6.967, 2.108, 2.108
20080303, -0.026, -0.251, -1.010, -3.066, 1.336, 1.336
20080304, -1.717, -1.840, -2.859, -2.865, -0.986, -0.986
20080305, -2.457, -1.300, -2.077, -1.076, -3.597, -3.597
20080306, 6.948, 6.602, 5.618, 9.768, 6.276, 6.276
20080307, -0.052, -0.477, 0.885, -4.461, 2.624, 2.624
20080310, 2.861, 2.862, 1.898, 3.485, 1.861, 1.861
20080311, -5.581, -5.447, -6.713, -5.407, -8.258, -8.258
20080312, 2.967, 3.038, 5.701, 5.095, 2.172, 2.172
20080313, 0.352, 0.461, -1.464, -1.763, 4.758, 4.758
20080314, 5.745, 5.745, 3.455, 6.260, 3.332, 3.332
20080317, 0.100, 0.100, 0.005, -3.036, 2.468, 2.468
20080318, -8.199, -8.199, -7.678, -8.778, -10.516, -10.516
20080319, 4.622, 4.622, 5.262, 6.258, 6.550, 6.550
20080320, -1.507, -2.110, -2.110, -0.919, -3.671, -3.671
20080324, -2.325, -1.058, -1.058, -3.793, -0.565, -0.565
20080325, 0.031, 0.423, 2.837, 0.395, -8.154, -8.154
20080326, 2.246, 1.428, 1.678, 1.747, 8.408, 8.408
20080327, -0.725, 0.774, 1.447, -0.945, 0.230, 0.230
20080328, 0.032, 1.123, -2.009, 2.802, -3.618, -3.618
20080331, -1.864, -1.235, 0.648, -4.358, -2.677, -2.677
20080401, -6.836, -5.793, -5.953, -5.266, -6.467, -6.467
20080402, 1.818, 1.347, -1.556, 2.313, -0.939, -0.939
20080403, -0.975, -0.863, 2.491, -3.329, 4.005, 4.005
20080404, -0.628, -0.114, -0.181, 0.831, 9.146, 9.146
20080407, -3.336, -2.968, -3.199, 0.083, -14.787, -14.787
20080408, -0.463, -0.740, -1.000, -3.687, 2.663, 2.663
20080409, 2.523, 2.482, 2.337, 4.347, -1.177, 4.196
20080410, -1.992, -1.334, -0.711, -1.852, -1.041, -3.528
20080411, 2.181, 2.181, 3.703, 6.584, 0.372, 5.073
20080414, -0.158, -0.158, -1.728, -2.251, 6.482, -2.516
20080415, -2.069, -2.069, -0.619, -2.574, -2.299, 0.359
20080416, -6.070, -6.070, -6.443, -4.489, -7.680, -3.614
20080417, 0.111, 0.111, 2.477, 1.428, -0.848, -0.688
20080418, -3.690, -3.690, -4.192, -3.473, 0.809, -1.863
20080421, -1.202, -1.202, -2.215, -1.942, -3.977, 0.359
20080422, 0.821, 0.181, 1.856, 1.635, 1.635, 17.697
20080423, -1.080, -1.909, 0.793, -2.927, -2.927, 6.182
20080424, -2.789, -1.872, -1.799, 0.807, 0.807, -5.643
20080425, -2.528, -2.526, -2.611, 0.733, -1.038, -8.646
20080428, -0.748, -0.542, -0.792, -6.734, -1.542, 9.996
20080429, 1.290, 1.287, 0.626, 5.441, -1.542, -2.036
20080430, 2.207, 3.828, 1.598, -0.363, 4.131, -4.828
20080501, -6.126, -6.363, -3.650, -6.565, 7.537, -16.992
20080502, -1.199, -1.997, -1.676, 5.280, -13.920, 27.641
20080505, 0.797, 2.058, 2.107, -1.954, 3.244, -1.762
20080506, -3.933, -4.021, -3.918, -1.518, 0.273, -6.264
20080507, 4.683, 4.881, 5.294, 5.213, 1.331, 4.309
20080508, 0.049, 0.048, 0.602, 0.916, 0.092, 3.556
20080509, 0.912, 1.165, 0.255, -0.056, -0.804, -3.800
20080512, -3.480, -3.366, -1.700, -0.253, -1.745, -0.600
20080513, -0.442, -0.255, 0.046, -1.338, 1.368, 0.101
20080514, -2.199, -2.354, -2.266, -3.355, -0.206, 3.310
20080515, -2.589, -2.331, -1.177, 1.084, -1.783, -3.132
20080516, 1.328, 1.328, 0.880, 0.729, 0.548, 1.992
20080519, -2.147, -2.147, 0.541, 0.078, 0.600, -1.738
20080520, 5.364, 5.364, 8.545, 8.545, 2.959, -1.009
20080521, 6.308, 6.308, 4.771, 4.771, 3.111, 12.513
20080522, -1.760, 0.232, -1.044, -1.044, 3.023, -3.231
20080523, 2.312, 2.108, 1.395, 1.395, 5.096, 5.096
20080527, -3.036, -1.391, -0.666, -0.666, -3.651, -3.651
20080528, -1.098, -2.316, -1.909, -1.384, -0.188, -2.423
20080529, -5.933, -5.793, -7.160, -2.323, 1.073, -5.810
20080530, -2.348, -2.016, 0.644, -0.419, -2.728, -2.190
20080602, 5.756, 5.756, 3.922, 0.540, 3.761, 10.353
20080603, 1.865, 1.733, 1.455, 2.693, -0.648, -2.806
20080604, 0.264, -0.278, -3.204, 1.304, 0.004, 0.610
20080605, -5.126, -4.970, -0.943, -1.879, 0.076, -4.908
20080606, 10.843, 9.203, 5.032, 5.879, 2.937, 10.558
20080609, -1.813, -2.567, -1.190, -1.446, 2.416, -3.635
20080610, 0.151, 0.395, -0.884, -1.743, -2.827, 2.208
20080611, 2.902, 2.565, 2.509, 2.462, 3.297, -0.822
20080612, -1.252, -0.630, -3.329, 1.804, -2.644, 0.251
20080613, -3.739, -3.739, -2.639, -4.657, -5.247, -3.015
20080616, -1.113, -1.113, -0.539, -2.415, -1.138, -5.594
20080617, -0.264, -0.264, -0.248, -0.655, 0.741, 2.882
20080618, 2.933, 2.933, 3.670, 0.203, 4.657, 0.524
20080619, -1.745, -1.280, -1.280, 1.572, -4.777, 1.135
20080620, 2.408, 1.799, 1.799, -0.463, 2.715, -1.149
20080623, 0.029, 1.073, 1.073, -0.465, -1.004, 2.248
20080624, 0.587, 1.539, 1.138, -1.911, 2.283, 2.283
20080625, -4.246, -5.340, -3.196, -0.747, -1.880, -4.042
20080626, 8.625, 7.165, 7.188, 5.395, -0.129, 5.199
20080627, -0.575, -0.364, -0.325, 3.699, 0.512, -2.907
20080630, -1.332, -1.041, -1.558, -1.962, 0.463, 1.476
20080701, -0.216, -0.798, 0.487, -1.398, -0.767, -1.687
20080702, 5.239, 6.171, 3.070, 3.557, 4.058, 1.813
20080703, -0.771, -1.254, -0.503, -0.288, 1.404, -2.136
20080707, 1.119, 0.286, -0.783, 3.005, -2.308, 7.454
20080708, -5.950, -5.079, -4.605, -7.200, -6.119, -7.741
20080709, 5.417, 5.100, 4.255, 5.531, 5.347, 6.460
20080710, 0.640, 0.739, 1.172, 0.249, 1.139, -3.685
20080711, 1.722, 1.722, 1.299, 0.190, 2.647, 3.172
20080714, 2.723, 2.723, 3.490, 1.803, -2.114, -0.952
20080715, 0.577, 0.577, 2.802, 1.419, 3.951, 5.493
20080716, -5.225, -5.225, -6.556, -5.984, -2.854, -10.058
20080717, -1.884, -1.884, -2.904, 0.891, -3.565, -1.691
20080718, -0.829, -0.829, -1.010, -0.710, -0.171, 0.050
20080721, -2.829, -2.829, -1.758, -1.452, -2.564, 2.438
20080722, -3.974, -3.974, -3.408, -3.408, -0.764, -3.806
20080723, -0.165, -0.165, -1.651, -1.651, 4.600, 1.288
20080724, 4.930, 3.778, 5.468, 1.912, 1.912, 9.719
20080725, -0.420, -0.230, -1.274, 1.757, -0.845, -3.018
20080728, 3.292, 2.825, 2.371, 1.020, 5.087, 3.967
20080729, -6.145, -5.561, -5.632, -2.943, -5.585, -10.837
20080730, -4.599, -4.242, -4.064, -3.425, -4.702, -1.575
20080731, 4.987, 4.529, 3.110, -0.033, 5.146, 8.198
20080801, 0.663, 0.347, 1.101, 0.571, -0.153, -2.773
20080804, -0.500, -0.194, 0.239, -0.712, 1.365, 0.377
20080805, -4.870, -4.227, -3.332, -1.975, -5.603, -3.695
20080806, -2.902, -2.979, -2.464, 0.176, -0.904, 2.879
20080807, 4.171, 4.787, 4.707, 2.006, 6.295, -3.390
20080808, -2.849, -3.367, -2.316, -1.450, -1.516, 2.249
20080811, -1.596, -1.088, -0.062, 0.271, -1.565, -3.081
20080812, 3.902, 4.056, 1.089, 1.561, -0.103, 3.317
20080813, 1.875, 2.192, 2.375, 0.607, 2.984, 10.013
20080814, -3.377, -3.527, -2.717, -3.922, -2.937, -6.947
20080815, -1.155, -1.155, -0.290, 0.232, 1.870, 0.918
20080818, 1.315, 1.315, 1.537, 2.504, -0.283, 0.176
20080819, 3.242, 3.242, 2.855, 4.733, -1.002, -0.686
20080820, -2.082, -2.082, -1.901, -3.132, -0.311, 1.253
20080821, -1.067, 0.542, 0.542, 0.790, 0.709, -3.967
20080822, -2.589, -2.302, -2.302, -2.028, 0.942, 0.942
20080825, 4.556, 2.184, 2.353, 2.353, 2.786, 2.786
20080826, -1.026, -0.817, -1.604, -1.305, -0.209, -0.590
20080827, -2.352, -1.258, -1.624, -1.107, -0.678, -3.239
20080828, -2.589, -1.426, -0.152, -1.865, -1.119, -3.100
20080829, 2.332, 1.022, 2.187, 0.288, 3.929, 0.855
20080902, 1.463, 1.220, -0.316, 1.916, 0.164, 1.420
20080903, -1.286, -0.670, -0.287, 0.180, -0.853, 0.811
20080904, 7.687, 5.792, 5.853, 3.929, 6.257, 3.023
20080905, -2.164, -1.283, -0.712, -3.774, -0.668, -3.901
20080908, -3.538, -2.773, -2.462, -0.021, -3.420, 0.577
20080909, 7.376, 6.511, 3.950, 3.995, 2.325, 3.563
20080910, -1.979, -1.764, -1.383, -1.124, 0.060, -4.566
20080911, 0.834, 1.092, 0.436, -1.242, -1.769, -0.015
20080912, 0.134, 0.134, 0.299, 2.377, 2.531, 1.309
20080915, 5.364, 5.364, 2.565, 2.624, 5.411, 2.506
20080916, -2.541, -2.541, -0.322, 0.578, -1.216, -4.077
20080917, 6.110, 6.110, 3.894, 4.915, 5.184, -0.694
20080918, -5.117, -5.117, -4.049, -3.066, -2.375, -2.610
20080919, -2.214, -2.214, -3.287, -2.123, -3.163, -1.236
20080922, 7.687, 7.687, 4.731, 3.030, 6.629, 5.649
20080923, 9.262, 7.974, 4.144, 2.423, 0.551, 5.507
20080924, -1.254, -0.057, -0.734, -5.432, 1.858, -1.546
20080925, -3.137, -3.164, -2.708, -2.753, -1.162, 0.069
20080926, 3.018, 1.672, -0.165, 1.066, 1.577, -1.769
20080929, 14.079, 15.513, 14.058, 15.762, 7.857, -4.614
20080930, -6.028, -5.842, -6.017, -6.831, -1.324, 13.633
20081001, 3.485, 2.806, 2.027, -0.352, 3.187, 0.893
20081002, 6.759, 7.282, 6.412, 4.668, 2.312, -2.693
20081003, 3.680, 2.219, 1.430, 0.777, 2.155, -4.037
20081006, 3.901, 2.219, 3.261, 3.924, -2.648, 11.224
20081007, 9.869, 9.068, 3.846, 8.131, 14.312, -4.245
20081008, 6.097, 3.335, 3.658, 4.506, 0.920, 1.016
20081009, 10.559, 6.297, 9.424, -0.618, 17.971, -2.625
20081010, 4.871, 1.820, -0.133, 5.877, 1.690, 8.746
20081013, -8.039, -5.816, -6.036, -8.210, -7.554, -0.671
20081014, 2.531, 5.984, 0.182, 3.520, 2.792, 5.564
20081015, 14.128, 12.948, 10.595, 8.143, 18.318, 17.312
20081016, 2.383, 0.247, -0.993, -1.074, -7.249, 2.945
20081017, 10.519, 10.519, 6.117, 10.154, 0.906, 0.813
20081020, -4.029, -4.029, -7.900, -10.153, -2.216, -5.139
20081021, -2.775, -2.775, 6.551, 6.551, -6.595, -6.595
20081022, 10.257, 10.257, 11.823, 11.823, 11.994, -0.727
20081023, 3.353, 1.354, -0.368, 2.734, -4.081, -0.578
20081024, 11.325, 9.666, 5.326, 7.673, 5.161, 13.293
20081027, 5.850, 3.246, 4.127, -0.061, 2.340, -2.373
20081028, -8.476, -3.911, -4.628, -5.496, -7.579, -10.997
20081029, 4.612, 2.222, 8.315, 5.767, 18.182, -13.265
20081030, -1.320, -0.007, -0.775, -1.168, 0.274, 1.403
20081031, -0.494, 1.780, 1.519, 2.240, 2.199, 15.056
20081103, -3.291, -0.506, 0.189, 0.592, -3.733, 3.317
20081104, -8.669, -7.014, -7.026, 0.114, -6.358, -12.384
20081105, 6.404, 4.348, 5.807, 4.674, 7.251, 18.121
20081106, 11.638, 9.288, 11.339, 8.381, 1.761, 21.946
20081107, -2.605, -0.511, -1.277, -1.519, -0.309, -18.468
20081110, 2.024, 1.697, -0.300, 3.645, 3.426, -0.167
20081111, 2.854, 2.437, 3.296, 1.711, 3.246, 2.853
20081112, 7.647, 7.912, 1.134, 4.422, 5.179, 3.589
20081113, -6.555, -6.028, 0.094, 0.457, -6.774, 1.556
20081114, 7.172, 7.172, 5.971, 3.354, 10.329, -0.091
20081117, 5.199, 5.199, 5.529, 3.643, 1.454, 5.038
20081118, 1.849, 1.849, 0.929, 3.249, 1.516, 4.906
20081119, 9.749, 9.749, 8.740, 8.595, 9.236, 15.562
20081120, 5.284, 5.582, 5.582, 11.315, 11.315, 3.790
20081121, -5.177, -6.657, -6.657, -4.140, -0.595, -19.313
20081124, -6.410, -4.447, -6.219, -5.278, -4.153, -6.526
20081125, -2.556, -3.191, -1.724, -4.959, -4.013, 12.092
20081126, -6.214, -2.954, -3.495, -4.681, -5.792, -11.998
20081128, -0.080, -0.787, -0.004, 1.394, -5.099, 3.880
20081201, 12.890, 12.148, 9.234, 9.754, 14.271, 1.924
20081202, -3.246, -2.744, 1.064, -2.250, 0.688, 2.129
20081203, -0.269, 0.437, -1.315, -2.035, -0.527, 0.582
20081204, 4.595, 3.786, 6.146, 6.743, 5.719, 9.882
20081205, -2.604, -1.997, 0.189, -1.152, -3.546, -7.580
20081208, -4.444, -4.807, -2.421, -0.001, -4.159, -3.848
20081209, 1.606, 1.366, 1.076, -2.638, 3.305, 9.102
20081210, -1.819, -1.974, -1.513, -0.174, 1.202, -7.324
20081211, 0.931, 1.797, 1.077, 0.639, 2.246, 2.775
20081212, -1.730, -1.730, -1.141, -1.256, -1.402, 6.695
20081215, 1.047, 1.047, -0.801, 1.158, -0.418, 2.793
20081216, -4.784, -4.784, -5.097, -4.519, -5.607, -4.369
20081217, -0.277, -0.277, -0.111, 0.271, -0.720, 3.166
20081218, -3.611, -3.611, -2.811, -0.604, -0.693, -4.179
20081219, -6.019, -6.019, -5.332, -6.471, 1.038, 1.038
20081222, -4.091, -4.091, -4.434, -4.434, -10.559, -10.559
20081223, 1.406, 2.264, 1.639, 1.824, 10.131, 10.131
20081224, -0.922, -1.403, -1.303, -4.243, 0.451, 10.076
20081226, -1.226, -0.997, -0.180, -0.216, -5.590, 4.651
20081229, 2.606, 3.075, 0.603, 5.666, -3.053, 5.822
20081230, -4.392, -3.856, -2.494, -5.933, -0.521, -6.347
20081231, -4.983, -5.250, -0.996, -5.077, -15.583, -8.070
20090102, -7.500, -7.221, -7.752, -9.333, 3.294, -10.864
20090105, 2.203, 0.768, -0.092, 2.052, 2.871, 1.174
20090106, -1.298, -1.815, -3.085, 2.172, -4.085, 8.009
20090107, 8.682, 7.696, 9.362, 5.222, 9.625, 6.383
20090108, -0.256, 1.086, -1.351, 2.191, -7.323, -5.959
20090109, 3.477, 3.436, 6.211, -0.628, 7.407, 0.211
20090112, 8.025, 8.817, 6.446, 8.992, 3.465, 9.592
20090113, -2.175, -2.391, -0.145, 0.898, -0.885, -3.169
20090114, 8.644, 8.538, 5.912, 4.069, 12.945, 2.803
20090115, -0.502, -1.659, 1.862, 2.612, -1.599, 2.348
20090116, -3.172, -3.172, -0.435, -0.106, -0.780, 3.636
20090120, 12.881, 12.881, 10.902, 11.825, 15.673, 6.751
20090121, -6.486, -7.853, -7.006, -8.015, -8.015, 2.517
20090122, -1.076, -1.537, 2.443, 2.635, 2.635, -7.057
20090123, -0.712, -0.436, -0.788, 1.369, 0.939, 7.650
20090126, -4.949, -4.553, -1.863, -3.336, -0.847, -2.463
20090127, -4.934, -4.855, -5.286, -3.762, -3.739, -0.195
20090128, -6.320, -7.278, -5.746, -9.870, -4.736, -2.315
20090129, 1.837, 1.077, -0.331, -0.004, -1.937, 4.217
20090130, 3.529, 3.383, 2.794, 2.218, 2.163, 0.850
20090202, 0.605, 0.025, -0.078, 1.908, 1.308, -0.826
20090203, -4.050, -3.450, -3.072, -6.722, 0.253, -4.928
20090204, 0.855, 0.758, -0.058, 0.146, -2.011, 0.872
20090205, -1.319, -1.496, -2.118, 0.387, -1.788, -3.225
20090206, -1.198, -0.979, -1.646, -1.388, 3.821, 0.606
20090209, 0.540, 0.901, 2.172, 0.722, -0.841, 1.270
20090210, 6.280, 6.263, 6.061, 4.738, 2.041, 3.855
20090211, -1.758, -1.570, -2.610, -2.608, -0.847, -0.947
20090212, -2.015, -1.686, 0.340, 2.010, -1.702, -0.164
20090213, 1.814, 1.814, 1.859, 2.659, 2.422, 2.805
20090217, 4.206, 4.206, 1.874, 2.403, 2.509, 3.534
20090218, 1.782, 1.782, 1.346, 1.346, 2.189, 0.000
20090219, -0.535, 1.329, 1.416, 1.416, 0.775, 4.808
