This file contains the principal components of the VIX term structure from 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The principal components are standardized to have mean zero and standard deviation one,,,,,,
The dates are in YYYYMMDD format,,,,,,
,,,,,,
,PC1,PC2,PC3,PC4,PC5,PC6
VIX_1^2,0.51968, -0.56870, -0.55366, 0.16303, 0.03370, -0.26881
VIX_2^2,0.47462, -0.24053, 0.24564, -0.26279, 0.03584, 0.76563
VIX_3^2,0.43583, -0.01249, 0.60790, -0.32293, -0.00583, -0.57969
VIX_6^2,0.36150, 0.29878, 0.15584, 0.65321, -0.56929, 0.07062
VIX_9^2,0.31765, 0.44323, -0.02943, 0.30580, 0.77965, 0.02023
VIX_12^2,0.28832, 0.57693, -0.48829, -0.52905, -0.25611, -0.01042
,,,,,,
,PC1,PC2,PC3,PC4,PC5,PC6,
19960104, -0.80937, -0.88016, 0.02474, -0.20233, -0.04953, 0.03646
19960105, -0.80804, -0.83101, 0.12049, 0.03777, 0.25130, 0.12804
19960108, -0.83236, -0.85582, 0.10951, -0.12967, -0.00163, 0.12033
19960109, -0.75452, -1.05163, -0.59559, 0.02112, 0.02071, 0.04189
19960110, -0.70903, -1.03497, -0.23587, -0.24297, 0.06804, -0.02646
19960111, -0.76914, -0.94697, 0.18594, -0.48339, -0.04605, 0.02932
19960112, -0.77837, -0.90045, 0.02674, -0.44521, -0.02649, 0.05698
19960115, -0.74463, -0.97154, -0.07135, -0.42619, -0.02445, -0.03589
19960116, -0.79218, -0.92024, 0.00474, -0.42430, 0.00154, 0.02672
19960117, -0.78407, -0.89392, -0.01108, -0.35758, -0.02929, 0.04129
19960118, -0.79554, -0.91445, 0.13067, -0.39209, -0.01130, 0.04900
19960119, -0.82974, -0.85701, 0.20828, -0.52858, -0.01217, 0.09861
19960122, -0.80811, -0.89893, 0.15134, -0.37336, -0.09930, -0.04466
19960123, -0.80964, -0.88360, 0.19949, -0.17606, -0.00667, -0.01257
19960124, -0.84097, -0.84867, 0.33948, -0.18234, -0.01818, 0.10325
19960125, -0.84311, -0.90528, 0.16180, -0.21830, -0.01635, -0.05100
19960126, -0.87742, -0.85940, 0.16433, -0.12225, -0.02695, 0.16834
19960129, -0.88011, -0.88586, 0.05828, -0.06088, -0.01298, 0.19580
19960130, -0.90423, -0.93654, -0.25414, 0.08262, -0.03941, 0.29797
19960131, -0.91952, -0.93536, -0.40505, 0.07855, -0.01944, 0.27434
19960201, -0.91660, -0.97068, -0.26572, 0.06864, -0.03760, 0.25125
19960202, -0.87757, -1.00726, -0.15230, -0.12029, -0.03956, 0.18974
19960205, -0.85634, -1.07493, 0.01503, -0.22106, -0.03804, -0.05288
19960206, -0.80247, -1.12417, 0.10977, -0.30039, -0.01518, 0.05575
19960207, -0.81477, -1.07199, 0.26025, -0.15968, -0.07834, -0.00124
19960208, -0.81591, -1.05802, 0.33788, -0.10533, -0.08627, -0.10613
19960209, -0.78045, -1.10715, 0.35244, -0.10817, -0.08026, -0.04478
19960212, -0.78009, -1.11729, 0.26372, 0.33078, 0.09717, -0.21900
19960213, -0.77230, -1.17334, 0.39407, -0.21569, -0.11536, 0.13080
19960214, -0.73638, -1.20160, 0.13519, -0.11035, 0.06425, -0.03492
19960215, -0.70535, -1.16902, 0.21831, -0.00016, -0.04725, 0.01451
19960216, -0.71687, -1.05587, 0.44609, -0.14496, 0.00186, 0.15183
19960220, -0.66688, -1.03365, 0.41014, -0.05802, 0.06527, 0.08079
19960221, -0.76429, -0.95832, 0.44533, -0.15513, -0.00755, 0.21292
19960222, -0.79393, -1.07136, 0.04719, -0.01487, -0.13675, 0.53746
19960223, -0.77069, -1.04156, 0.17801, -0.01155, -0.02278, 0.30301
19960226, -0.69783, -1.11783, -0.01427, 0.12804, 0.04154, 0.14174
19960227, -0.68988, -1.08430, 0.16079, 0.08232, 0.04821, 0.12711
19960228, -0.67636, -1.03950, 0.06475, 0.18288, 0.19547, -0.00669
19960229, -0.63381, -1.05392, 0.06081, 0.15669, 0.27136, 0.02448
19960301, -0.65735, -1.01640, 0.24911, 0.28998, 0.07080, 0.11055
19960304, -0.67256, -1.01004, 0.17838, 0.32360, 0.07111, -0.10403
19960305, -0.69913, -0.96542, 0.19438, 0.28246, 0.05705, -0.04824
19960306, -0.67322, -0.99274, 0.24402, 0.35776, 0.07741, -0.09296
19960307, -0.67807, -0.97233, 0.10845, 0.17867, -0.00212, -0.06766
19960308, -0.48552, -1.17694, -0.31848, 0.32106, 0.27876, -0.72366
19960311, -0.50464, -1.19727, -0.35118, 0.55753, 0.14721, -1.14614
19960312, -0.51167, -1.14431, -0.19776, 0.47510, 0.06911, -1.12623
19960313, -0.52700, -1.07155, -0.03307, 0.43580, 0.14111, -1.04506
19960314, -0.58880, -0.94421, 0.14505, 0.34637, 0.12159, -0.70726
19960315, -0.61567, -0.90230, 0.10039, 0.36979, 0.12303, -0.68382
19960318, -0.62706, -1.02823, 0.02790, 0.17786, 0.11496, -0.37636
19960319, -0.56092, -1.13976, -0.00505, 0.21597, 0.11478, -0.82411
19960320, -0.54361, -1.08551, 0.14181, 0.11922, 0.15426, -0.91088
19960321, -0.56409, -1.01004, 0.31176, 0.06502, 0.10279, -0.34869
19960322, -0.59362, -0.96540, 0.40523, 0.04883, -0.01618, -0.52512
19960325, -0.57134, -1.03647, 0.31586, -0.02399, -0.01531, -0.35778
19960326, -0.57190, -1.01314, 0.32687, 0.08717, 0.13791, -0.32161
19960327, -0.53202, -0.96947, 0.35168, 0.14220, 0.07756, -0.39267
19960328, -0.55000, -0.96679, 0.46191, 0.06443, 0.04700, -0.24432
19960329, -0.51382, -0.99755, 0.47045, 0.17025, 0.02144, -0.31840
19960401, -0.54829, -0.97748, 0.55146, 0.03340, 0.06410, -0.06798
19960402, -0.59730, -0.85718, 0.91849, -0.03852, -0.03869, -0.07884
19960403, -0.60613, -0.88350, 0.66380, -0.05588, 0.12038, 0.01877
19960404, -0.61438, -0.88557, 0.59575, 0.01413, 0.05447, 0.00654
19960408, -0.49791, -1.00827, 0.63535, 0.03842, 0.11707, -0.07781
19960409, -0.55293, -0.89023, 0.45269, 0.00639, 0.02810, 0.00237
19960410, -0.40311, -1.20077, 0.34929, -0.00043, 0.27158, -0.18237
19960411, -0.39488, -1.14845, 0.22823, 0.36459, 0.21725, -0.05785
19960412, -0.51987, -0.86889, 0.88172, 0.20842, 0.10470, 0.03824
19960415, -0.55766, -0.84171, 0.80314, 0.11724, 0.01389, 0.07470
19960416, -0.58553, -0.86172, 0.66047, 0.16940, 0.12652, 0.06240
19960417, -0.56778, -0.88586, 0.59003, 0.15206, 0.24806, 0.02583
19960418, -0.58626, -0.84906, 0.72053, 0.09894, 0.09875, 0.07247
19960419, -0.63743, -0.77431, 0.71712, 0.07826, 0.04584, 0.14208
19960422, -0.65794, -0.81102, 0.53118, 0.15669, 0.10114, 0.09190
19960423, -0.67423, -0.77823, 0.57432, 0.18151, 0.11406, 0.09851
19960424, -0.69379, -0.77989, -0.06337, 0.66045, 0.05866, 1.34127
19960425, -0.69545, -0.77262, 0.22646, 0.45231, 0.06985, 0.72878
19960426, -0.70889, -0.82411, 0.15929, 0.53614, -0.14955, 0.69823
19960429, -0.69102, -0.87320, -0.04510, 0.59145, -0.13231, 0.68398
19960430, -0.68143, -0.91575, -0.01946, 0.61418, -0.19474, 0.64211
19960501, -0.67966, -0.93372, -0.04310, 0.67692, -0.22532, 0.55164
19960502, -0.59122, -0.98148, -0.46470, 0.77760, -0.07332, 0.82118
19960503, -0.63418, -0.85281, -0.28790, 0.68760, -0.08160, 0.68204
19960506, -0.62374, -0.83754, -0.27128, 0.72932, -0.17979, 0.55007
19960507, -0.59617, -0.85714, 0.08453, 0.54632, -0.14245, -0.18140
19960508, -0.64998, -0.80019, 0.30681, 0.46281, -0.16841, -0.18432
19960509, -0.61707, -0.86628, 0.18045, 0.53962, -0.09403, -0.22225
19960510, -0.67141, -0.82775, 0.32860, 0.28454, -0.12558, -0.24499
19960513, -0.69287, -0.86762, 0.39480, 0.20355, -0.12419, -0.05799
19960514, -0.71007, -0.86498, 0.41120, 0.16880, -0.13091, -0.03312
19960515, -0.68108, -0.93881, 0.28250, 0.22775, -0.10271, -0.17885
19960516, -0.67512, -0.95855, 0.20202, 0.29192, -0.10629, -0.25963
19960517, -0.70097, -0.92190, 0.42122, 0.18475, -0.16570, -0.16538
19960520, -0.68114, -1.02041, 0.22745, 0.24773, -0.08497, -0.27618
19960521, -0.66902, -1.01937, 0.49642, 0.03562, -0.15162, -0.10007
19960522, -0.69693, -1.02579, 0.40363, -0.00563, -0.10130, -0.01717
19960523, -0.66723, -1.01931, 0.51733, -0.05457, -0.18290, 0.02974
19960524, -0.69156, -0.96152, 0.41018, 0.10654, -0.22848, 0.23570
19960528, -0.63156, -1.02472, 0.31109, 0.37905, -0.19375, -0.03109
19960529, -0.59683, -0.95577, 0.35014, 0.53948, -0.19127, 0.08398
19960530, -0.64304, -0.87739, 0.46513, 0.20595, -0.27292, 0.03062
19960531, -0.62217, -0.87382, 0.38390, 0.34524, -0.26090, -0.04048
19960603, -0.61913, -0.92541, 0.28666, 0.33672, -0.28278, -0.38585
19960604, -0.63172, -0.90963, 0.39800, 0.35478, -0.33777, -0.37613
19960605, -0.65337, -0.93242, 0.46671, 0.14250, -0.32705, -0.29628
19960606, -0.61626, -0.95597, 0.36442, 0.22626, -0.29245, -0.41052
19960607, -0.64221, -0.88636, 0.50904, 0.18877, -0.30058, -0.33277
19960610, -0.60467, -0.89231, 0.41973, 0.29073, -0.13210, -0.57714
19960611, -0.60436, -0.88628, 0.44524, 0.54622, -0.21652, -0.60119
19960612, -0.58842, -0.87458, 0.41972, 0.50589, -0.04876, -0.68319
19960613, -0.57829, -0.88873, 0.33035, 0.65118, -0.13701, -0.57772
19960614, -0.56264, -0.87757, 0.47268, 0.59652, -0.17443, -0.75846
19960617, -0.55993, -0.89992, 0.34261, 0.60678, -0.15286, -1.00038
19960618, -0.55000, -0.85047, 0.44300, 0.53763, -0.14842, -0.89991
19960619, -0.54935, -0.84214, 0.48352, 0.64351, -0.19591, -1.00710
19960620, -0.56715, -0.80724, 0.52749, 0.50261, -0.33352, -0.90509
19960621, -0.61914, -0.72178, 0.67831, 0.43132, -0.18509, -0.36742
19960624, -0.61847, -0.74330, 0.66943, 0.45849, -0.18699, -0.12276
19960625, -0.63927, -0.74176, 0.72780, 0.34246, -0.13963, -0.22341
19960626, -0.65206, -0.72113, 0.56818, 0.32447, -0.05469, -0.15112
19960627, -0.71966, -0.76363, 0.51700, 0.20201, -0.07117, 0.01575
19960628, -0.74925, -0.76453, 0.48198, 0.20529, -0.06998, 0.01533
19960701, -0.75667, -0.76788, 0.32132, 0.09456, -0.16729, 0.10120
19960702, -0.73928, -0.79186, 0.34669, 0.05691, -0.11210, 0.03302
19960703, -0.72125, -0.76327, 0.52175, 0.12394, -0.11327, 0.04418
19960705, -0.62967, -0.86241, 0.80651, -0.01731, -0.10668, -0.17080
19960708, -0.60951, -0.81822, 0.57555, -0.09619, -0.21693, -0.04288
19960709, -0.63380, -0.76146, 0.65282, 0.06508, -0.15219, 0.05394
19960710, -0.65664, -0.79165, 0.32344, 0.10263, -0.15984, 0.13063
19960711, -0.56290, -0.95480, 0.11883, 0.14392, -0.09495, 0.01560
19960712, -0.58442, -0.83203, 0.53976, 0.03277, -0.07832, 0.05098
19960715, -0.41645, -1.13526, 0.07177, 0.14067, -0.13029, -0.24399
19960716, -0.39604, -1.08303, 0.38509, 0.11591, -0.26199, -0.18736
19960717, -0.44945, -0.99603, 0.25961, 0.26990, -0.17150, -0.11538
19960718, -0.53840, -0.94228, 0.08570, 0.15664, -0.09516, -0.06772
19960719, -0.54609, -0.87483, 0.42927, 0.12938, -0.16880, 0.01405
19960722, -0.39225, -1.15446, 0.55686, 0.04587, -0.30986, -0.03129
19960723, -0.36455, -1.25005, -0.84911, 0.87480, -0.21278, 2.26558
19960724, -0.37520, -1.12288, -0.50339, 0.98405, -0.36344, 2.30568
19960725, -0.44215, -0.94086, -0.23956, 0.87515, -0.26118, 1.92936
19960726, -0.51595, -0.78100, -0.02088, 0.66256, -0.22258, 1.58281
19960729, -0.40468, -1.07170, -0.77276, 1.26368, -0.17660, 1.86803
19960730, -0.41137, -0.96275, -0.50066, 0.96730, -0.16261, 1.26007
19960731, -0.45605, -0.92720, -0.46642, 0.95323, -0.20388, 1.07863
19960801, -0.50107, -0.91461, -0.40566, 0.63723, -0.16629, 0.78133
19960802, -0.61102, -0.75893, -0.04116, 0.57412, -0.17437, 0.58697
19960805, -0.57666, -0.84600, 0.00944, 0.71238, -0.12194, 0.42200
19960806, -0.57717, -0.83096, 0.31620, 0.38355, -0.10825, -0.17654
19960807, -0.60388, -0.79468, 0.40440, 0.40479, -0.15851, -0.23530
19960808, -0.60361, -0.78374, 0.50814, 0.31649, -0.15784, -0.20200
19960809, -0.59968, -0.76655, 0.64754, 0.23667, -0.14122, -0.05780
19960812, -0.63348, -0.79509, 0.42564, 0.27998, -0.09749, -0.29126
19960813, -0.59069, -0.82198, 0.49067, 0.24198, -0.09289, -0.23839
19960814, -0.61301, -0.78980, 0.58198, 0.22793, -0.14512, -0.23350
19960815, -0.61809, -0.74113, 0.74961, 0.14713, -0.13051, -0.01949
19960816, -0.65827, -0.71607, 0.66463, 0.17651, -0.12269, -0.16890
19960819, -0.64906, -0.74974, 0.69221, 0.06267, -0.08434, -0.10885
19960820, -0.66046, -0.69678, 0.76012, 0.08542, -0.14548, -0.17348
19960821, -0.66568, -0.65332, 0.86469, 0.00406, -0.12854, 0.02382
19960822, -0.70905, -0.64875, 0.70921, 0.13595, -0.14168, -0.32911
19960823, -0.68059, -0.67030, 0.87786, -0.00762, -0.16008, -0.16608
19960826, -0.62144, -0.75716, 0.78035, 0.11135, -0.13733, -0.12756
19960827, -0.62989, -0.72331, 0.79895, 0.00966, -0.08399, -0.05408
19960828, -0.62214, -0.72563, 0.88473, -0.02240, -0.13703, -0.17148
19960829, -0.56384, -0.75767, 0.86976, -0.21513, -0.18654, 0.00886
19960830, -0.50782, -0.86233, 1.02487, -0.19814, -0.14851, 0.14283
19960903, -0.48828, -0.93746, 0.67029, -0.09370, 0.00015, -0.27010
19960904, -0.47563, -0.94121, 0.64385, 0.02403, -0.14114, -0.20493
19960905, -0.38244, -1.12185, 0.58413, -0.15893, -0.10049, -0.16304
19960906, -0.52911, -0.85435, 0.86611, -0.03892, -0.18999, -0.18265
19960909, -0.56921, -0.77071, 0.77694, 0.07884, -0.17376, -0.29142
19960910, -0.57513, -0.78218, 0.77386, 0.02292, -0.11543, -0.16267
19960911, -0.57986, -0.77787, 0.78597, -0.01882, -0.08468, -0.06979
19960912, -0.58380, -0.78937, 0.79410, -0.04131, -0.19776, -0.19434
19960913, -0.62298, -0.71824, 0.94098, -0.10838, 0.02760, 0.05695
19960916, -0.62144, -0.81962, 0.73719, 0.04119, -0.07492, -0.24765
19960917, -0.60743, -0.75857, 0.80095, -0.00538, -0.03849, -0.09723
19960918, -0.58481, -0.76613, 0.93287, -0.09061, -0.01748, 0.05259
19960919, -0.59554, -0.75480, 0.90669, -0.06056, 0.00770, -0.26485
19960920, -0.61634, -0.73561, 0.88240, -0.03169, 0.02253, -0.16415
19960923, -0.57829, -0.81796, 0.80598, -0.12715, 0.04596, -0.25441
19960924, -0.57221, -0.79930, 0.91256, -0.01701, -0.20049, -0.09035
19960925, -0.57280, -0.78099, 0.88020, -0.04797, -0.00465, -0.09372
19960926, -0.57724, -0.76486, 0.96302, 0.14413, -0.25662, -0.21991
19960927, -0.57612, -0.76518, 0.94071, 0.03563, -0.12574, -0.07391
19960930, -0.54178, -0.80493, 0.74676, 0.17330, -0.04046, -0.04975
19961001, -0.55635, -0.80038, 0.78435, 0.17741, 0.00496, -0.10764
19961002, -0.57225, -0.81337, 0.77459, -0.07791, -0.02366, -0.12106
19961003, -0.55849, -0.82229, 0.71626, -0.00782, -0.01517, -0.06732
19961004, -0.65287, -0.69557, 0.86119, -0.12167, 0.07250, -0.01586
19961007, -0.64193, -0.74963, 0.67451, -0.00579, 0.08413, 0.04963
19961008, -0.61581, -0.75276, 0.74626, 0.05315, -0.00027, 0.06045
19961009, -0.58827, -0.78622, 0.81228, -0.05973, 0.02820, 0.03876
19961010, -0.58037, -0.77369, 0.63779, 0.17381, 0.03583, 0.09872
19961011, -0.63779, -0.71648, 0.86570, 0.05918, 0.07595, 0.13745
19961014, -0.63454, -0.69295, 0.69297, -0.28293, -0.00898, 0.15852
19961015, -0.61236, -0.76213, 0.58415, -0.07098, 0.02081, 0.10990
19961016, -0.62219, -0.74233, 0.53203, -0.05992, 0.02858, 0.12097
19961017, -0.62613, -0.73923, 0.73137, -0.24077, 0.02900, 0.13419
19961018, -0.64508, -0.73886, 0.63075, -0.22203, 0.15223, 0.13048
19961021, -0.60504, -0.80080, 0.49740, -0.05480, 0.21695, 0.43916
19961022, -0.60718, -0.79125, -0.22715, 0.56131, 0.06329, 1.68658
19961023, -0.61915, -0.76434, -0.27939, 0.61852, 0.09383, 1.61393
19961024, -0.57252, -0.77929, -0.46250, 0.87148, -0.02726, 1.70834
19961025, -0.57949, -0.76287, -0.41142, 0.87298, -0.08277, 1.62620
19961028, -0.52443, -0.84916, -0.70275, 0.98264, -0.12617, 1.40738
19961029, -0.54264, -0.80971, -0.70323, 0.89640, -0.14612, 1.31699
19961030, -0.46536, -0.87534, 0.44270, -0.06091, -0.09822, 0.13956
19961031, -0.48641, -0.85085, 0.43210, -0.13366, -0.13174, 0.03649
19961101, -0.48921, -0.82273, 0.56561, -0.13073, -0.23033, 0.10660
19961104, -0.53180, -0.79253, 0.35747, 0.05550, -0.22990, 0.05004
19961105, -0.55307, -0.91341, 0.30559, 0.26685, -0.63895, -0.26350
19961106, -0.62686, -0.85542, 0.58748, 0.13832, -0.54050, -0.18235
19961107, -0.58806, -0.92256, 0.53550, 0.10110, -0.57641, 0.08460
19961108, -0.63653, -0.80157, 0.55313, -0.04798, -0.51714, 0.15499
19961111, -0.63516, -0.76598, 0.89393, -0.12654, -0.59411, 0.46037
19961112, -0.63402, -0.71412, 1.06595, -0.16603, -0.68420, 0.47799
19961113, -0.65573, -0.68828, 0.96924, -0.11277, -0.70337, 0.20803
19961114, -0.70159, -0.63753, 0.81126, -0.20066, -0.72263, 0.06772
19961115, -0.67783, -0.70590, 0.78680, -0.16442, -0.77685, -0.00607
19961118, -0.68012, -0.77403, -0.14906, 0.55758, -0.76283, 1.63351
19961119, -0.70221, -0.75101, -0.40683, 0.46401, -0.81028, 1.82278
19961120, -0.65678, -0.81439, -0.32632, 0.70719, -0.78882, 1.71939
19961121, -0.63190, -0.75009, 0.35464, 0.26711, -0.91868, 0.86318
19961122, -0.63822, -0.63033, 0.33045, 0.50507, -0.61015, 1.38737
19961125, -0.59751, -0.76278, 0.25065, 0.47744, -0.67206, 0.83554
19961126, -0.47746, -0.74648, 1.07026, -0.08831, -0.81700, 0.19658
19961127, -0.47258, -0.72646, 1.05683, -0.08393, -0.78171, 0.09155
19961129, -0.46529, -0.74053, 1.04071, -0.20201, -0.84018, 0.07965
19961202, -0.42336, -0.78019, 1.06405, -0.29949, -0.77864, 0.06914
19961203, -0.33968, -0.76975, 0.95221, -0.43790, -0.96756, 0.25201
19961204, -0.40498, -0.67253, 0.95812, -0.13761, -0.91474, 0.25283
19961205, -0.37891, -0.72286, 1.03314, -0.24220, -1.02851, 0.22142
19961206, -0.34588, -0.77358, 1.04687, -0.28438, -1.06422, 0.20006
19961209, -0.41519, -0.69858, 1.06544, -0.20316, -0.92311, 0.33934
19961210, -0.41169, -0.69769, 0.90595, -0.27132, -0.92405, 0.39176
19961211, -0.30570, -0.90860, 0.93787, -0.58309, -1.09677, 0.78946
19961212, -0.24998, -0.94976, 0.86525, -0.61802, -1.26582, 0.92464
19961213, -0.22223, -0.94568, 0.86945, -0.18981, -1.18288, 0.78274
19961216, -0.14380, -0.96637, 0.91420, -0.64805, -1.21203, 0.93379
19961217, -0.21068, -0.80454, 1.10244, -0.48584, -1.23517, 1.02608
19961218, -0.32269, -0.68480, 0.85959, -0.04056, -0.96316, 0.25610
19961219, -0.37079, -0.75813, 0.89495, -0.20161, -0.80119, 0.04951
19961220, -0.38411, -0.69542, 0.60062, -0.00473, -0.88298, -0.21645
19961223, -0.35648, -0.73755, 0.62736, -0.07021, -0.94020, -0.38573
19961224, -0.39259, -0.67071, 0.67716, -0.16921, -0.68629, -0.35544
19961226, -0.41721, -0.67394, 0.53659, -0.07913, -0.62132, -0.22736
19961227, -0.38880, -0.78983, 0.60671, -0.14034, -0.57689, -0.25791
19961230, -0.36151, -0.80511, 0.53728, -0.09544, -0.59645, -0.25406
19961231, -0.24983, -0.91458, 0.48487, -0.18100, -0.74492, 0.03599
19970102, -0.27087, -0.83040, 0.77291, -0.33690, -0.66518, -0.26129
19970103, -0.37629, -0.73977, 0.89421, -0.29934, -0.58305, -0.20409
19970106, -0.33444, -0.81400, 0.71207, -0.25049, -0.57437, -0.11755
19970107, -0.39066, -0.78158, 0.63657, -0.30180, -0.51949, -0.10130
19970108, -0.37078, -0.80964, 0.45107, -0.15741, -0.56989, -0.12260
19970109, -0.33147, -0.94833, 0.65249, -0.31359, -0.45511, -0.21137
19970110, -0.36770, -0.88316, 0.62723, -0.04020, -0.38573, -0.05414
19970113, -0.33583, -0.88407, 0.73647, -0.45187, -0.43227, -0.10448
19970114, -0.37421, -0.89959, 0.90880, -0.32184, -0.39434, -0.06431
19970115, -0.35057, -0.87477, 0.62012, -0.15516, -0.30991, -0.08659
19970116, -0.34679, -0.86144, 0.69705, -0.35091, -0.28502, -0.08770
19970117, -0.39433, -0.79176, 0.94027, -0.49449, -0.30197, -0.00505
19970120, -0.46567, -0.76540, -0.58739, 0.66800, -0.22896, 2.53122
19970121, -0.51122, -0.72358, -0.44563, 0.69982, -0.20961, 2.49907
19970122, -0.54160, -0.68376, -0.17657, 0.52154, -0.21254, 1.86166
19970123, -0.47707, -0.76212, -0.71663, 0.40600, -0.17737, 1.73979
19970124, -0.41003, -0.74047, -0.36668, 0.31774, -0.21383, 1.59150
19970127, -0.38519, -0.88262, -0.92461, 0.47564, -0.17073, 1.39586
19970128, -0.38103, -0.86183, -0.64859, 0.44279, -0.27869, 1.03244
19970129, -0.38920, -0.83403, -0.73903, 0.28533, -0.18697, 1.17188
19970130, -0.42190, -0.81392, -0.63644, 0.23583, -0.14172, 0.90482
19970131, -0.42118, -0.73162, -0.33577, 0.54293, -0.25790, 0.98768
19970203, -0.40085, -0.78112, -0.36958, 0.53981, -0.23701, 0.60339
19970204, -0.39943, -0.75843, 0.07839, 0.27516, -0.24366, -0.39208
19970205, -0.33445, -0.89146, 0.14089, 0.70808, -0.05352, -0.59283
19970206, -0.34713, -0.83224, 0.35928, 0.61632, -0.03482, -0.55171
19970207, -0.39269, -0.69932, 0.33454, 0.24446, -0.27180, -0.50499
19970210, -0.33640, -0.78963, 0.02930, 0.28357, -0.23128, -0.97607
19970211, -0.36480, -0.75517, 0.16878, 0.22610, -0.21566, -0.82716
19970212, -0.40954, -0.76050, 0.35370, 0.45169, -0.12085, -0.90023
19970213, -0.42723, -0.75895, 0.36173, 0.49562, -0.09921, -0.84710
19970214, -0.42112, -0.72239, 0.39325, 0.50789, -0.12725, -1.00614
19970218, -0.39867, -0.79690, 0.29374, 0.50994, -0.04045, -1.43881
19970219, -0.33376, -0.82298, 0.18641, 0.61830, 0.13523, -1.54879
19970220, -0.24893, -0.84220, 0.43315, 0.45227, 0.21989, -1.00473
19970221, -0.29090, -0.70717, 0.67625, 0.53365, 0.10661, -0.80829
19970224, -0.38094, -0.63531, -0.42860, 1.38938, 0.00037, 0.07128
19970225, -0.33645, -0.64083, 0.79738, 0.35115, 0.13781, -0.56665
19970226, -0.25020, -0.72114, 0.85481, 0.27765, 0.07424, -0.47006
19970227, -0.19342, -0.74765, 0.88341, -0.15682, 0.02505, -0.59255
19970228, -0.21352, -0.72642, 0.81707, -0.09813, 0.05286, -0.45909
19970303, -0.22280, -0.71708, 0.97500, -0.16310, 0.02828, -0.19001
19970304, -0.23918, -0.71356, 0.89787, -0.06870, 0.00508, -0.13458
19970305, -0.31039, -0.57639, 0.77472, -0.01101, -0.01900, -0.31389
19970306, -0.26981, -0.68327, 0.64193, -0.02735, 0.02534, -0.59454
19970307, -0.31773, -0.56515, 0.76590, 0.00048, 0.03817, -0.26856
19970310, -0.33111, -0.56397, 0.61968, 0.08135, -0.01474, -0.63566
19970311, -0.31476, -0.56963, 0.60726, 0.08560, 0.03838, -0.58720
19970312, -0.28041, -0.56827, 0.68948, -0.02506, 0.05806, -0.46844
19970313, -0.21947, -0.58463, 0.79065, 0.00972, 0.04425, -0.22897
19970314, -0.25492, -0.54281, 0.98459, -0.24073, 0.08174, -0.07789
19970317, -0.21969, -0.65979, 0.55976, -0.09517, 0.23926, -0.75781
19970318, -0.18695, -0.71843, 0.45931, -0.08343, 0.19841, -0.59186
19970319, -0.15478, -0.72438, 0.53707, -0.08434, 0.27592, -0.51907
19970320, -0.16933, -0.64328, 0.64537, -0.02028, 0.23748, -0.13381
19970321, -0.29123, -0.52305, 0.33253, 0.02696, 0.28136, 0.01277
19970324, -0.31163, -0.59833, 0.47543, -0.02585, 0.11226, -0.36352
19970325, -0.31844, -0.50977, 0.49410, -0.05330, 0.11888, -0.20402
19970326, -0.38597, -0.45561, 0.35431, -0.08411, 0.01174, 0.04435
19970327, -0.26916, -0.62311, 0.25305, -0.20479, 0.40163, -0.20357
19970331, -0.19007, -0.86539, -0.00744, 0.08357, 0.26961, -0.05930
19970401, -0.25367, -0.70995, 0.29224, -0.19154, 0.21100, 0.06299
19970402, -0.25003, -0.63013, 0.38504, -0.15933, 0.18494, -0.42222
19970403, -0.26642, -0.83989, 0.33181, 0.29127, 0.32597, -0.05924
19970404, -0.37042, -0.67433, 0.46395, 0.24944, 0.25918, 0.02613
19970407, -0.41378, -0.63184, 0.47673, 0.27094, 0.17619, 0.06076
19970408, -0.41485, -0.62168, 0.55517, 0.17846, 0.17334, 0.06191
19970409, -0.39583, -0.62071, 0.45501, 0.25745, 0.16735, 0.10277
19970410, -0.38032, -0.65928, 0.41760, 0.23016, 0.14362, 0.07167
19970411, -0.31358, -0.61739, 0.13153, 0.17741, 0.25887, 0.03659
19970414, -0.35254, -0.56561, 0.26665, 0.02780, 0.25750, 0.04271
19970415, -0.41330, -0.55558, 0.27463, 0.01438, 0.15267, 0.08470
19970416, -0.44388, -0.51070, 0.34711, 0.07793, 0.16916, 0.13897
19970417, -0.39847, -0.59872, 0.26269, 0.03745, 0.15585, 0.05264
19970418, -0.40112, -0.63070, 0.22242, 0.03993, 0.23670, 0.02899
19970421, -0.40515, -0.72882, -1.18711, 1.12046, 0.20340, 2.72104
19970422, -0.40897, -0.74636, -0.78874, 0.77956, 0.22747, 1.88489
19970423, -0.36297, -0.73245, -0.91660, 1.06373, 0.20639, 1.83449
19970424, -0.34170, -0.70844, -1.11418, 0.90352, 0.19914, 2.11590
19970425, -0.31356, -0.71432, -1.07311, 1.04594, 0.16102, 1.71932
19970428, -0.32443, -0.75812, -1.30348, 1.16742, 0.19445, 1.53232
19970429, -0.41086, -0.61154, -1.16182, 1.27289, 0.06515, 1.48511
19970430, -0.40644, -0.66639, -1.15149, 1.41368, 0.00395, 1.42939
19970501, -0.42221, -0.64057, -1.11321, 1.37741, -0.07133, 1.23923
19970502, -0.53003, -0.46698, -1.18947, 1.69179, -0.09035, 1.42814
19970505, -0.36548, -0.75373, 0.37177, 0.34167, 0.10827, 0.01041
19970506, -0.32816, -0.75093, 0.08533, 0.41737, 0.02927, -0.04783
