,Date,1m_BBG,2m_BBG,3m_BBG,6m_BBG,9m_BBG,12m_BBG
1,2008-05-11,0.21115838682798782,0.18571937191242482,0.15493874258616058,0.11532535188908155,0.11120173538195122,0.08199130394899745
2,2008-06-11,0.43144141981972184,0.3767628218699175,0.3043297174317452,0.25602839504677743,0.19312321517223485,0.1673832682695069
3,2008-07-11,-0.17995279140630283,-0.15010120967301188,-0.1175193587072102,-0.09772481388483278,-0.09060190504463317,-0.07927430794739743
4,2008-10-11,0.0658040201350989,0.05394075085828831,0.03541882768573967,0.029939744928007217,0.04058235999936133,0.04727015768818288
5,2008-11-11,0.04729649930849278,0.05383697856536762,0.019450570527890898,0.04580709180218556,0.03281782674209488,0.018391250269089054
6,2008-12-11,0.18127107254119124,0.1618189618389212,0.16798303297674244,0.10844818758925423,0.10452414631084395,0.07954188463060285
7,2008-11-13,-0.22776030260528124,-0.19247899198409468,-0.1735113641487338,-0.13364537650905384,-0.10812034255430647,-0.06304080404347956
8,2008-11-14,0.18146246884570227,0.15407580610490523,0.13289119739071809,0.13741621125249637,0.1420939529045595,0.08053168402298505
9,2008-11-17,0.1716517620402005,0.1487874469249093,0.1800881815662272,0.09117669988396382,0.07741914730882948,0.08464635158918554
10,2008-11-18,0.03116479194237276,0.053668750414967326,0.018524291294463868,0.02630557712469539,0.024217851099048504,0.016300687613939102
11,2008-11-19,0.16597074642687115,0.16468701108195472,0.13574364414166906,0.12326383800789253,0.13454193236624779,0.13670509985376844
12,2008-11-20,0.1907504441589838,0.16227518308162736,0.0964798756755898,0.12721570868532317,0.12472866149225048,0.06640603754931051
13,2008-11-21,-0.19665465477176458,-0.17054098172463084,-0.1423869531131826,-0.12210931413008552,-0.1540000169283543,-0.10590189133775785
14,2008-11-24,-0.2315070126346942,-0.19616155701059412,-0.14289916387012946,-0.18982247452097722,-0.15817596246789467,-0.1322697803917079
15,2008-11-25,-0.0921818700664161,-0.068808188883832,-0.08484508185419526,-0.05725848257614141,-0.03526233388332978,-0.03391489333429587
