Date,VIX_1^2,VIX_2^2,VIX_3^2,VIX_6^2,VIX_9^2,VIX_12^2
04/01/1996,0.015130898446983988,0.014760617621750387,0.014712854650151276,0.015301628630982974,0.016779125005606396,0.017767718559063072
05/01/1996,0.014720459397966843,0.014526307,0.014526281938787905,0.015531568729007291,0.017578694,0.018092077
08/01/1996,0.013885666813535851,0.014006664235567285,0.014085061708685146,0.015012076499577812,0.01656354,0.017490301
09/01/1996,0.020184088,0.016653945,0.016386387204061686,0.016412103386468858,0.017792066993270347,0.018461064
10/01/1996,0.020782337751873495,0.018671565122430817,0.018354541,0.017348053,0.018660323,0.019301628
11/01/1996,0.017283478762122825,0.016414296633946703,0.016316176,0.016162775261948994,0.017072085867207504,0.018140714324135186
12/01/1996,0.016707284417636126,0.016380085085634627,0.016259406929612766,0.016009774217416346,0.017458261657816918,0.018597309668931597
15/01/1996,0.019068602657987925,0.017412412215965893,0.017063185,0.016647799374154063,0.017807313512204263,0.018820022579717748
16/01/1996,0.016718309,0.015919768,0.015745041455915522,0.015886965,0.017230230952533832,0.018168036715610028
17/01/1996,0.017130752,0.016063577923045285,0.016015803538130806,0.016261735364238285,0.017598928226781763,0.018547876176763952
18/01/1996,0.016418636,0.015906742974704922,0.015628862447288474,0.015862437760398355,0.017156279738522275,0.018098027148626964
19/01/1996,0.014052304607150746,0.014512631979432934,0.014577345892602974,0.015110230624161352,0.016563620248466752,0.017671639
22/01/1996,0.015882934,0.014958844245240853,0.014322852,0.015380921797897334,0.016682071674697572,0.017660138126806245
23/01/1996,0.015860131257878184,0.015147176447974595,0.014474816359308413,0.015344627,0.016720931435877776,0.017649934
24/01/1996,0.013755331078551307,0.013558251053584595,0.013709289285247164,0.014757533215131803,0.016123198,0.017078692628516128
25/01/1996,0.01462351,0.013951715881754876,0.013419522093365773,0.014286973925798927,0.015639587781955244,0.016768633338148743
26/01/1996,0.012679237280475129,0.012673743584656385,0.012780376223945305,0.013811655674190095,0.015226800517708517,0.016429001189094506
29/01/1996,0.012951504395565186,0.012652970325577972,0.012598040064931653,0.013691399790312848,0.015072099936850486,0.016290747183828617
30/01/1996,0.012862711021274962,0.012414661350465865,0.012202294856557354,0.013074582236687464,0.014245682495549824,0.015658239
31/01/1996,0.012814714287147779,0.012093733,0.011733919821287941,0.012394610445486795,0.014002132903362594,0.015345302
01/02/1996,0.013057196934400802,0.012352235825627663,0.011883576173730627,0.012363815145848394,0.013804350082166232,0.015094878402762508
02/02/1996,0.014841009946702436,0.014077251511753387,0.013306054,0.013072215576714397,0.014207699480719826,0.015530636209684002
