,date,near,next,RET
129,1996-07-09,11,39,-0.09497926964551107
130,1996-07-10,10,38,-0.07534048833329554
131,1996-07-11,9,37,0.25856959583798256
132,1996-07-12,8,36,-0.12768506251913536
133,1996-07-15,5,33,0.3558049432039987
134,1996-07-16,4,32,-0.06490039335310283
135,1996-07-17,3,31,-0.07854360024273632
137,1996-07-19,29,64,-0.012411329936430793
138,1996-07-22,26,61,0.21332482834186073
139,1996-07-23,25,60,0.05874758727196938
140,1996-07-24,24,59,-0.07801719258792594
141,1996-07-25,23,58,-0.148270436496986
142,1996-07-26,22,57,-0.18493561215997678
143,1996-07-29,19,54,0.26786828207873037
144,1996-07-30,18,53,-0.12373659000466664
145,1996-07-31,17,52,-0.0573760002235888
146,1996-08-01,16,51,-0.08105541712717013
147,1996-08-02,15,50,-0.2465449952041182
148,1996-08-05,12,47,0.005119391505586046
149,1996-08-06,11,46,-0.08290555962930746
150,1996-08-07,10,45,-0.10515503764706713
151,1996-08-08,9,44,-0.06177345072701512
152,1996-08-09,8,43,-0.024572426184461316
153,1996-08-12,5,40,-0.15239650339308175
154,1996-08-13,4,39,0.04415309187981897
155,1996-08-14,3,38,-0.17617577257660144
157,1996-08-16,36,64,0.0583136591012654
158,1996-08-19,33,61,-0.07761219253561269
159,1996-08-20,32,60,-0.09203650432879584
160,1996-08-21,31,59,-0.10147565495358402
161,1996-08-22,30,58,-0.10786749396119755
162,1996-08-23,29,57,0.030145014997882802
163,1996-08-26,26,54,0.06531995206987196
164,1996-08-27,25,53,-0.09305439873313581
165,1996-08-28,24,52,-0.03499552026484076
166,1996-08-29,23,51,0.09460482246773005
167,1996-08-30,22,50,0.15334866697187133
168,1996-09-03,18,46,-0.03688131944090434
169,1996-09-04,17,45,-0.0017156260947202018
170,1996-09-05,16,44,0.1653230112823869
171,1996-09-06,15,43,-0.2996791003684838
172,1996-09-09,12,40,-0.16229063376089625
173,1996-09-10,11,39,-0.07594192062637195
174,1996-09-11,10,38,-0.026577628288454114
175,1996-09-12,9,37,-0.04432684116200969
176,1996-09-13,8,36,-0.16190335164130187
177,1996-09-16,5,33,-0.021981727790946204
178,1996-09-17,4,32,-0.009937607219900446
179,1996-09-18,3,31,-0.005076454241843664
181,1996-09-20,29,57,-0.07428484273692182
182,1996-09-23,26,54,0.037465052502483775
183,1996-09-24,25,53,-0.09804331254100818
184,1996-09-25,24,52,-0.06885717207889908
185,1996-09-26,23,51,0.02275517514615255
186,1996-09-27,22,50,-0.10321358671318881
187,1996-09-30,19,47,0.04152780146253243
188,1996-10-01,18,46,-0.06058180333961416
189,1996-10-02,17,45,-0.05263339310722315
190,1996-10-03,16,44,0.01188584178680574
191,1996-10-04,15,43,-0.2636786143945721
192,1996-10-07,12,40,-0.04389169080735722
193,1996-10-08,11,39,0.024570877257367174
194,1996-10-09,10,38,0.013387874043851333
195,1996-10-10,9,37,-0.0008652572121052859
196,1996-10-11,8,36,-0.19160192131475728
197,1996-10-14,5,33,-0.07163622996479413
198,1996-10-15,4,32,0.04111055024328247
199,1996-10-16,3,31,-0.05861380259091964
201,1996-10-18,29,64,-0.08052172197968832
202,1996-10-21,26,61,0.0006520233330640224
203,1996-10-22,25,60,0.03224518002920451
204,1996-10-23,24,59,-0.06686062303628282
205,1996-10-24,23,58,0.09108901794946678
206,1996-10-25,22,57,-0.07280071629666607
207,1996-10-28,19,54,0.048084948711931697
208,1996-10-29,18,53,-0.07405914600163266
209,1996-10-30,17,52,-0.02865479814684868
210,1996-10-31,16,51,-0.008943894618373638
211,1996-11-01,15,50,-0.0727016207113853
212,1996-11-04,12,47,-0.1409501715149304
213,1996-11-05,11,46,-0.011287081207246086
214,1996-11-06,10,45,-0.18971901043752115
215,1996-11-07,9,44,0.05510650740457379
216,1996-11-08,8,43,-0.1621869691219464
217,1996-11-11,5,40,-0.18498828134966228
218,1996-11-12,4,39,0.04566085821144639
219,1996-11-13,3,38,-0.10017559595391368
221,1996-11-15,36,64,0.06988885296371872
222,1996-11-18,33,61,-0.002083557484753862
223,1996-11-19,32,60,-0.052843292097702554
224,1996-11-20,31,59,0.07924185878860768
225,1996-11-21,30,58,-0.08821503822278975
226,1996-11-22,29,57,-0.12657855458552814
227,1996-11-25,26,54,0.06607977772298201
228,1996-11-26,25,53,0.0635313671873714
229,1996-11-27,24,52,-0.04238577268423782
230,1996-11-29,22,50,-0.06783656018663153
231,1996-12-02,19,47,-0.017533652231969787
232,1996-12-03,18,46,0.08144486320840638
233,1996-12-04,17,45,-0.1467430697036306
234,1996-12-05,16,44,-0.001348462903560943
235,1996-12-06,15,43,0.016236564536004305
236,1996-12-09,12,40,-0.2099748161396009
237,1996-12-10,11,39,-0.017283977865716782
238,1996-12-11,10,38,0.24272662183077465
239,1996-12-12,9,37,0.02687408718815809
240,1996-12-13,8,36,-0.0032952046898452325
241,1996-12-16,5,33,-0.02676189031459497
242,1996-12-17,4,32,-0.1384735717497798
243,1996-12-18,3,31,-0.14641668081368775
245,1996-12-20,29,64,-0.04133522141457513
246,1996-12-23,26,61,-0.04521984904887699
247,1996-12-24,25,60,-0.08777697954324748
248,1996-12-26,23,58,-0.06872604206925437
249,1996-12-27,22,57,0.03770068274354066
250,1996-12-30,19,54,-0.0462236826836282
251,1996-12-31,18,53,0.09331172967528611
252,1997-01-02,16,51,-0.06343138180272312
253,1997-01-03,15,50,-0.16688216713241877
254,1997-01-06,12,47,0.029787355983406094
255,1997-01-07,11,46,-0.06072243726429305
256,1997-01-08,10,45,0.021826316193179096
257,1997-01-09,9,44,0.04353032962476866
258,1997-01-10,8,43,-0.08996095880364541
259,1997-01-13,5,40,-0.06199034248295021
260,1997-01-14,4,39,-0.07653946511297738
261,1997-01-15,3,38,-0.04706465814883276
263,1997-01-17,36,64,-0.17941073213595016
264,1997-01-20,33,61,-0.03553389674984875
265,1997-01-21,32,60,-0.10071145453313102
266,1997-01-22,31,59,-0.11611057716909201
267,1997-01-23,30,58,0.08957165105704723
268,1997-01-24,29,57,0.08326059228584448
269,1997-01-27,26,54,0.011938809316669019
270,1997-01-28,25,53,-0.03665166769915862
271,1997-01-29,24,52,-0.03954925391126063
272,1997-01-30,23,51,-0.08649027588012603
273,1997-01-31,22,50,-0.07666649322161967
274,1997-02-03,19,47,-0.049873435090376894
275,1997-02-04,18,46,-0.06003729490193965
276,1997-02-05,17,45,0.11494552386380397
277,1997-02-07,15,43,-0.20579845496109295
278,1997-02-06,16,44,0.14234061586280622
279,1997-02-10,12,40,-0.10181627600399179
280,1997-02-11,11,39,-0.10687073494231647
281,1997-02-12,10,38,-0.09987463594290846
282,1997-02-13,9,37,-0.053735057472606096
283,1997-02-14,8,36,-0.041375458762183626
284,1997-02-18,4,32,-0.08521187981797351
285,1997-02-19,3,31,0.0814378431690077
287,1997-02-24,26,54,-0.25482155358474823
288,1997-02-21,29,57,0.16211997552695445
289,1997-02-25,25,53,-0.23805698635600103
290,1997-02-26,24,52,0.12193599419640133
291,1997-02-27,23,51,0.034195394746435515
292,1997-02-28,22,50,-0.05537909808059249
293,1997-03-03,19,47,-0.1234110916637765
295,1997-03-05,17,45,1.4812760915340437
296,1997-03-06,16,44,0.08878336791894115
297,1997-03-07,15,43,-0.13260621231501712
298,1997-03-10,12,40,-0.10005966295352142
299,1997-03-11,11,39,-0.006507483704014105
300,1997-03-12,10,38,-0.006969645949574277
301,1997-03-13,9,37,0.017140936436755405
302,1997-03-14,8,36,-0.08866531448165926
303,1997-03-17,5,33,-0.09357151222048021
304,1997-03-18,4,32,0.0030941124185652757
305,1997-03-19,3,31,-0.006622663783175442
307,1997-03-21,29,57,-0.16277094304947515
308,1997-03-24,26,54,-0.07717189703358529
309,1997-03-25,25,53,-0.07992772791915259
310,1997-03-26,24,52,-0.12018143147204563
311,1997-03-27,23,51,0.09986363218692751
312,1997-03-31,19,47,-0.04007633192395477
313,1997-04-01,18,46,-0.12447946672471677
314,1997-04-02,17,45,-0.003775646013403078
315,1997-04-03,16,44,0.0699701709767433
316,1997-04-04,15,43,-0.04415048299903712
317,1997-04-07,12,40,-0.21111933732283206
318,1997-04-08,11,39,0.05262689117934549
319,1997-04-09,10,38,-0.016974798576766648
320,1997-04-10,9,37,-0.00011616769375211167
321,1997-04-11,8,36,0.05919842924700536
322,1997-04-14,5,33,-0.18534337516089672
323,1997-04-15,4,32,-0.11485465214578883
324,1997-04-16,3,31,0.014623556052340891
326,1997-04-18,29,64,-0.10855344210148887
327,1997-04-21,26,61,0.10331303306637696
328,1997-04-22,25,60,-0.040781866482049844
329,1997-04-23,24,59,-0.03826607624546885
330,1997-04-24,23,58,0.05837475611118559
331,1997-04-25,22,57,0.011288365908765474
332,1997-04-28,19,54,-0.10791523231583033
333,1997-04-29,18,53,-0.17604266813286196
334,1997-04-30,17,52,-0.0030864796233385228
335,1997-05-01,16,51,-0.057980601230932294
336,1997-05-02,15,50,-0.213810052273125
337,1997-05-05,12,47,0.08558279933920288
338,1997-05-06,11,46,0.053489981331589886
339,1997-05-07,10,45,0.07447379495230377
340,1997-05-08,9,44,-0.029479153543435332
341,1997-05-09,8,43,-0.1476121990409024
342,1997-05-12,5,40,-0.09289231470506265
343,1997-05-13,4,39,0.027122540838742326
344,1997-05-14,3,38,-0.021561784044438204
346,1997-05-16,36,64,0.19053212241778428
347,1997-05-19,33,61,-0.11586676182606892
348,1997-05-20,32,60,-0.20796288572536792
349,1997-05-21,31,59,-0.0699764369079664
350,1997-05-22,30,58,-0.06334118858332682
351,1997-05-23,29,57,-0.09722891198244532
352,1997-05-27,25,53,-0.04403934608363835
353,1997-05-28,24,52,0.004116084164234479
354,1997-05-29,23,51,-0.03337189688536513
355,1997-05-30,22,50,-0.0360854743328648
356,1997-06-02,19,47,-0.005930503799941866
357,1997-06-03,18,46,0.05712682843349759
358,1997-06-04,17,45,-0.08108634788947389
359,1997-06-05,16,44,0.02029248465660549
360,1997-06-06,15,43,-0.1585062427148093
361,1997-06-09,12,40,-0.07273322228598
362,1997-06-10,11,39,-0.06543077673357978
363,1997-06-11,10,38,-0.025311979326498646
364,1997-06-12,9,37,-0.08972046128295796
365,1997-06-13,8,36,0.03790194426499793
366,1997-06-16,5,33,-0.06075525426062933
367,1997-06-17,4,32,0.05889949258873184
368,1997-06-18,3,31,-0.008318241713235919
370,1997-06-20,29,57,-0.03283450819255873
371,1997-06-23,26,54,0.08668209728213028
372,1997-06-24,25,53,-0.15019328957067213
373,1997-06-25,24,52,0.042682240487643686
374,1997-06-26,23,51,-0.014584257651567456
375,1997-06-27,22,50,-0.0723946808008823
376,1997-06-30,19,47,-0.006632204835424482
377,1997-07-01,18,46,-0.0645186220706091
