date,return_30,return_60,return_90,return_180,return_270,return_360
1996-01-05,0.021428571428571352,0.04164133738601816,0.08210486322188433,0.07071008412549157,0.1326327561485331,0.19455542817157462
1996-01-08,-0.2758580705009277,-0.18462787212787213,-0.4477397602397603,-0.17996545185485277,-0.06871546033439309,-0.08552530108152655
1996-01-09,1.6893149664929266,0.869990770874824,2.2191552921746736,0.3114641633976368,0.4654404856188542,1.1286067329592004
1996-01-10,0.43101923740510695,0.3705068876452863,0.9867897115798536,0.17956427076325032,0.2888703558346415,0.6822461127308065
1996-01-11,-0.4650415721844293,-0.25051185522752784,-0.6653127270325605,-0.11629393861951999,-0.0962590182625961,-0.14836934085592401
1996-01-12,-0.005515802027429975,0.01242078027792312,0.033715623001337305,-0.005750070808550334,0.0320161551205262,0.0026872102028212795
1996-01-15,0.20725651023765068,0.13219748420244498,0.3344652453788462,0.04319230488500142,0.015620983980863503,0.04459781859695778
1996-01-16,-0.7083815412793919,-0.3674055829228244,-1.0515873015873016,-0.3907853550903119,-0.16735855710150066,-0.22861140036039232
1996-01-17,0.1892989706813992,0.13953488372093026,0.48706779869570577,0.18829514194478877,0.06431408843702605,0.09092426425203835
1996-01-18,-0.7711560982932492,-0.16014698562351773,-0.4267414282786286,-0.13737281333100146,-0.0648191501132678,-0.08649667767314831
1996-01-19,-0.25735294117647056,-0.2892273576097105,-0.7673436041083099,-0.09218559218559219,-0.07470581703454605,-0.15401882811727996
1996-01-22,-0.012855786557129347,0.009494100094941007,0.005425200054251952,0.013798478974379799,0.00820032546895479,0.01746475462319411
1996-01-23,-0.03674027750635142,-0.037129568106312336,-0.02506312292358808,-0.08152671755725195,-0.054932149471198205,-0.06931046053183455
1996-01-24,-0.3129251700680273,-0.23095238095238102,-0.32687074829931984,-0.129205691403028,-0.23499487800335261,-0.5024529042386185
1996-01-25,0.16594215714564967,0.1008295468756513,0.1677602234357414,0.16340870999256088,0.057213194968297035,0.08883973169687462
1996-01-26,-0.3300081103000811,-0.2106694473409802,-0.3540437956204379,-0.3401443001443002,-0.12505057131922803,-0.1821079418094344
1996-01-29,-0.114799193104713,-0.09756097560975607,-0.12543554006968638,-0.05151646290886797,-0.03659274132581786,-0.06965956443116601
1996-01-30,-0.31711010745323,-0.22082494969818917,-0.3729284799707335,-0.14520808877273028,-0.12253291020312372,-0.2417504736501685
1996-01-31,-0.28596789328193556,-0.2129398622230497,-0.33160890496582174,-0.1448318218746234,-0.06961535637844281,-0.17978944922634818
1996-02-01,-0.16000204471101415,-0.07077288350841349,-0.1580691026048065,-0.041895136857696386,-0.07280879222576254,-0.09645973206618698
1996-02-02,0.12838915470494427,0.08057371690094803,0.15713468453743068,0.054251384686167255,0.06201924906960874,0.08299587436278075
1996-02-05,-0.28058368869936035,-0.13234846177276877,-0.26314346634176056,-0.07142857142857144,-0.08822344322344323,-0.13128205128205128
1996-02-06,-0.27229419915151354,-0.13193774962126434,-0.09498138878192788,-0.053731152568361897,-0.029805300460904106,-0.04894007476688331
1996-02-07,-0.32453038033395176,-0.13838652482269503,-0.07165227732603621,-0.0690872009553328,-0.030105311355311293,-0.10755167451596011
1996-02-08,-0.41421768707482987,-0.21284634266077562,-0.13824774995909017,-0.11240836582772068,-0.10793423403998728,-0.18910746719193675
1996-02-09,-0.062282432118807914,-0.011870503597122285,-0.011054421768707474,0.003637952726098645,0.025087219830649182,0.037564354710787826
1996-02-12,-0.45924593590104285,-0.17771904321395537,-0.13675138916222648,-0.09294579244772938,-0.0742046415123338,-0.1345769615000384
1996-02-13,0.08089905249901433,0.06523093447905477,0.06656805949299482,0.04219758709604568,0.02988487363197661,0.04669387347611138
1996-02-14,0.8595971946017275,0.3245148279168182,0.18529144637519024,0.1417632141614043,0.11128267787370597,0.23448466352987213
1996-02-15,0.493878820035131,0.21387318183434678,0.16045592994479338,0.13034991324465006,0.10140114554376012,0.2256105524356798
1996-02-16,-0.006410256410256388,-0.004823814682969585,0.01060469094761814,0.01584459870904886,0.02301131704116781,0.04374475392912619
1996-02-20,0.2367388776433093,0.3295594125500668,0.2096901689024519,0.18232275569187212,0.15375961895187826,0.33738482343659515
1996-02-21,-0.3595089285714286,-0.34,-0.3862637362637363,-0.23979020397191622,-0.19059811054755232,-0.42572173981485123
1996-02-22,-0.30006288648988577,-0.22454407294832826,-0.34181864235055726,-0.17454503168788885,-0.14892629918536657,-0.3389722923401681
1996-02-23,0.015625,0.06744260204081627,0.06948194662480374,0.0655710805032072,0.056918921414719756,0.1292247668298089
1996-02-26,0.5380219780219779,0.35597469757133626,0.3020459982554173,0.22287005560386852,0.11164400571180225,0.24087353324641442
1996-02-27,0.061361618056456374,0.057522884882108216,0.04015562310030392,0.06794242309790585,0.10536538393147797,0.25508347763762235
1996-02-28,0.17037706399408525,0.10242771412984186,0.09789447194027354,0.09479588941806978,0.07140294515745021,0.17060806482048815
1996-02-29,0.2489111675619073,0.20127335254205775,0.17918035030103996,0.14547351755900984,0.08774462355687597,0.20859025156495448
1996-03-01,-0.3629792807811384,-0.2476420365114876,-0.21478241854362562,-0.17778677736154702,-0.10986920498651631,-0.264754171734319
1996-03-04,-0.1984086429666399,-0.14376961822030812,-0.10941706779799301,-0.08739339408219865,-0.062054433022175004,-0.1502816180235536
1996-03-05,-0.3655639097744361,-0.2271833429728167,-0.1796743402582819,-0.15005130786656085,-0.10848583465216323,-0.2667677150435771
1996-03-06,0.43348537371525875,0.21216475095785436,0.17240537240537232,0.1457224094586731,0.10852051174631812,0.26665730582781255
