Date,r_v_30,r_v_60,r_v_90,r_v_180,r_v_270,r_v_360
1996-01-05,0.0028551817573206264,-0.0008164294805056148,-0.0026238011489599974,0.0004723216871072261,-0.0006180312247596386,-0.001708384136626532
1996-01-08,0.0030196641272919465,0.0021140226187829785,0.004937090858803404,0.0026394564714266127,0.0016177779358439105,0.0013426023689031
1996-01-09,-0.020640371115318593,-0.011861383290260374,-0.030952336597035827,-0.005704595939201902,-0.011947557982346922,-0.026573585902353397
1996-01-10,-0.008543281845858524,-0.0027529480881484537,-0.0087124762740694,-0.002454369956314132,-0.002653701782335751,-0.007115749752379045
1996-01-11,0.007297995071404137,0.007644728885851755,0.020254131264440693,0.005168355404566589,0.006526918277329748,0.006107832869508616
1996-01-12,0.0009164467190501318,0.0012313944019248155,0.0029637066800693892,0.002462826180166196,-0.000210011622376811,-0.004137001427850363
1996-01-15,-0.001060953569816626,-0.00028047848877512846,-0.0015051094234459364,-0.0011612403449641905,-0.0015142263686452996,0.0005507547499153021
1996-01-16,-0.005575523169250628,-0.004125784280496423,-0.013732203822234123,-0.0033944265088389955,-0.004815441017961519,-0.007470935349651739
1996-01-17,0.00022434040229118854,-0.0016333819734724799,-0.003518916074318646,-0.0003273301406435067,0.00043972031342066155,0.0007743075948763282
1996-01-18,0.0012991463643579689,0.0002109023036062122,0.0015692086820305394,0.0010054182003716792,0.003382739159781632,0.005634120231875132
1996-01-19,0.003572724632128594,0.0021349315457534473,0.007842587723635459,-0.0008305984155015161,0.0032154660973611336,0.0009843713582083193
1996-01-22,-0.00019812995619108837,0.0025549974593374308,0.004745008076942565,-0.00038542151228161074,-0.00013990247509920845,0.00018059678547531025
1996-01-23,0.0004158099584298623,-0.001128628729801699,1.7109342419416072e-05,0.00023506778169314103,-7.312123723331582e-05,-0.00019847701749759053
1996-01-24,-0.0019044741123697083,-0.001741883754392522,-0.0012543195769456662,-0.0009575574709155844,-0.0018765386690452245,-0.003919748467074836
1996-01-25,-0.0003369776952937627,0.000647190312704751,0.0024412834250087494,0.004721008855440143,0.003861090782543668,0.005661194302705169
1996-01-26,0.0005972555136006938,0.0008224088251538134,-0.0011412857814624346,-0.0017632699949030378,-0.00090090411755741,-0.0012339927385027608
1996-01-29,0.0006685622928094705,0.0028032942241622695,0.0019066806980830991,0.000710563253577532,0.001157925965785193,0.003088420240129674
1996-01-30,-0.0043446903689237535,-0.0033925089327101216,-0.005016442179209829,-0.0008524929701907424,0.0024401729656699693,0.00048085189035668207
1996-01-31,-0.0057133446521067145,-0.0046980654220647395,-0.004707119708640343,-0.0007156735396435548,-0.003784272848627207,-0.009817329343356263
1996-02-01,-0.0005993355901456994,-0.0018039176814694698,-0.0032121472390558106,-0.00037612581288883995,0.0024572920897975204,0.007577129623516395
1996-02-02,-0.0009281512104977675,-0.0005871856145919137,-0.00023943155029866844,-0.0027042155685201934,-0.0011973048664066595,-0.004083510386491271
1996-02-05,-0.001528057918316969,-0.0032641745172786113,-0.006693345514886977,-0.0004330878002338248,0.001435451700591768,-0.0003197123873804039
